model_name,class_name,accuracy,precision,recall,f1,samples
efficientnet_b0_advanced,English springer,1.0,1.0,1.0,1.0,395
efficientnet_b0_advanced,church,0.9975550122249389,1.0,0.9975550122249389,0.9987760097919216,409
efficientnet_b0_advanced,golf ball,0.9949874686716792,1.0,0.9949874686716792,0.9974874371859296,399
efficientnet_b0_advanced,French horn,0.9949238578680203,1.0,0.9949238578680203,0.9974554707379135,394
efficientnet_b0_advanced,parachute,0.9948717948717949,1.0,0.9948717948717949,0.9974293059125964,390
efficientnet_b0_advanced,garbage truck,0.9948586118251928,1.0,0.9948586118251928,0.9974226804123711,389
efficientnet_b0_advanced,tench,0.9948320413436692,1.0,0.9948320413436692,0.9974093264248705,387
efficientnet_b0_advanced,chain saw,0.9870466321243523,1.0,0.9870466321243523,0.9934810951760104,386
efficientnet_b0_advanced,cassette player,0.9859943977591037,1.0,0.9859943977591037,0.9929478138222849,357
efficientnet_b0_advanced,gas pump,0.9809069212410502,1.0,0.9809069212410502,0.9903614457831326,419
