model_name,class_name,accuracy,precision,recall,f1,samples,validation_dataset
efficientnet_b0_progressive_adv,English springer,0.938144326210022,0.7878788113594055,0.938144326210022,0.8564705848693848,194,attacked_clean_efficientnet_b0_progressive_adv
efficientnet_b0_progressive_adv,tench,0.90625,0.8226950168609619,0.90625,0.8624535202980042,128,attacked_clean_efficientnet_b0_progressive_adv
efficientnet_b0_progressive_adv,garbage truck,0.7965116500854492,0.8782051205635071,0.7965116500854492,0.8353658318519592,172,attacked_clean_efficientnet_b0_progressive_adv
efficientnet_b0_progressive_adv,cassette player,0.7942583560943604,0.8601036071777344,0.7942583560943604,0.8258706331253052,209,attacked_clean_efficientnet_b0_progressive_adv
efficientnet_b0_progressive_adv,French horn,0.790123462677002,0.8888888955116272,0.790123462677002,0.8366013169288635,162,attacked_clean_efficientnet_b0_progressive_adv
efficientnet_b0_progressive_adv,chain saw,0.7003745436668396,0.6561403274536133,0.7003745436668396,0.6775362491607666,267,attacked_clean_efficientnet_b0_progressive_adv
efficientnet_b0_progressive_adv,gas pump,0.6596858501434326,0.540772557258606,0.6596858501434326,0.5943396091461182,191,attacked_clean_efficientnet_b0_progressive_adv
efficientnet_b0_progressive_adv,church,0.6449275612831116,0.9368420839309692,0.6449275612831116,0.7639485001564026,276,attacked_clean_efficientnet_b0_progressive_adv
efficientnet_b0_progressive_adv,parachute,0.637499988079071,0.4678899049758911,0.637499988079071,0.5396825671195984,80,attacked_clean_efficientnet_b0_progressive_adv
efficientnet_b0_progressive_adv,golf ball,0.577235758304596,0.5916666388511658,0.577235758304596,0.5843621492385864,123,attacked_clean_efficientnet_b0_progressive_adv
