model_name,attack_name,acc,prec,rec,f1,l0_pixels,l1,l2,linf,power_mse,clean_accuracy,accuracy_drop,relative_accuracy_drop,asr_unconditional,asr_conditional,time,n_samples
vgg16,APGD,0.0,0.0,0.0,0.0,50077.178173719374,2911.6804003471257,8.529612440308908,0.03137257695198059,0.0004838493532466937,0.898,0.898,1.0,1.0,,58.319586515426636,449
vgg16,APGDT,0.0,0.0,0.0,0.0,50145.74610244989,2856.424411017539,8.294104048297772,0.031372576620106174,0.00046083323822412766,0.898,0.898,1.0,1.0,,66.64093828201294,449
vgg16,BIM,0.0,0.0,0.0,0.0,49103.643652561244,2614.5149426024846,8.062702264976926,0.03137257695198059,0.0004323434413546584,0.898,0.898,1.0,1.0,,40.60474181175232,449
vgg16,CW,99.77728285077951,99.8,99.76744186046511,99.78134284016636,87.93541202672606,0.45538425233157015,0.0017475991578303892,8.337481781209764e-06,9.109935449902487e-09,0.898,0.0,0.0,0.00222717149220486,,42.916433572769165,449
vgg16,DeepFool,7.795100222717149,15.324028164420694,7.898465719381814,9.570767613766703,50057.33407572383,144.4767847077751,0.6039254574324492,0.02713271572704703,3.501169898791849e-06,0.898,0.8200489977728285,0.9131948750254214,0.9220489977728286,,340.5997242927551,449
vgg16,DIFGSM,0.0,0.0,0.0,0.0,49223.5144766147,2598.5277624321407,8.015811533598699,0.03137257695198059,0.00042719526271095174,0.898,0.898,1.0,1.0,,45.31383943557739,449
vgg16,EADEN,0.0,0.0,0.0,0.0,32685.49443207127,95.93193991133789,1.140087162142408,0.15059259878201844,7.774896149478193e-05,0.898,0.898,1.0,1.0,,1350.9509592056274,449
vgg16,EADL1,0.22271714922048996,1.6666666666666667,0.2040816326530612,0.36363636363636365,32243.25167037862,37.47478709909194,1.0737345006424759,0.16633768884137373,9.099081331288935e-06,0.898,0.8957728285077952,0.9975198535721549,0.9977728285077951,,1346.296522140503,449
vgg16,EOTPGD,0.0,0.0,0.0,0.0,50068.80623608018,2803.2473481651937,8.261584519808967,0.03137257695198059,0.0004537285753201179,0.898,0.898,1.0,1.0,,78.28076410293579,449
vgg16,FAB,0.6681514476614699,1.2113022113022112,0.7301011370778812,0.7818104936749004,49780.09131403118,251.2924261478114,0.7273117836081487,0.002513182540266009,4.980478947506627e-06,0.898,0.8913184855233853,0.9925595607164647,0.9933184855233853,,373.45120334625244,449
vgg16,FFGSM,13.808463251670378,17.729945833064033,13.114601245300333,9.829767300847998,49854.62583518931,3977.0383877148874,10.693242253598763,0.03137257695198059,0.0007599858370846042,0.898,0.7599153674832962,0.8462309214736038,0.8619153674832962,,14.204244613647461,449
vgg16,FGSM,18.262806236080177,19.837652672404996,17.730952389890682,14.15971371263872,49964.937639198215,4591.996293847439,11.967779212645805,0.03137257695198059,0.0009523264804226502,0.898,0.7153719376391983,0.7966279929167018,0.8173719376391982,,14.189221858978271,449
vgg16,GN,83.74164810690424,88.03424261895026,83.64170027261142,84.41154875050272,50043.32516703786,11196.914251722577,36.64739934585673,0.4488741249045179,0.008938031719130502,0.898,0.0605835189309577,0.06746494313024243,0.16258351893095768,,9.341403484344482,449
vgg16,Jitter,1.1135857461024499,1.227020766112352,1.1812619453815465,1.08784721563269,50078.83296213808,2631.606493705631,7.8379791276757595,0.03137257691879315,0.0004083035974752963,0.898,0.8868641425389755,0.9875992678607745,0.9888641425389755,,53.83932948112488,449
vgg16,MIFGSM,0.0,0.0,0.0,0.0,49866.75723830735,3771.887979146367,10.49796261606875,0.03137257695198059,0.0007325500894943564,0.898,0.898,1.0,1.0,,44.81047463417053,449
vgg16,NIFGSM,0.0,0.0,0.0,0.0,49869.231625835186,3871.804763624026,10.678321277643896,0.03137257695198059,0.0007579658401638419,0.898,0.898,1.0,1.0,,45.07893180847168,449
vgg16,OnePixel,98.88641425389754,98.94468524251806,98.91771019677996,98.9071222501414,1.0,1.228456169101337,0.7915553126011234,0.6191627598618612,4.62523236171895e-06,0.898,0.0,0.0,0.011135857461024634,,265.9080955982208,449
vgg16,PGD,0.0,0.0,0.0,0.0,50069.49443207127,2803.907278761832,8.26295453774637,0.03137257695198059,0.0004538652003677417,0.898,0.898,1.0,1.0,,44.99145483970642,449
vgg16,PGDL2,16.926503340757236,20.294686875717876,16.544259201359647,16.80064439859166,50094.66592427617,245.61684936105806,0.9317841778676812,0.03542973642509207,6.036374818760471e-06,0.898,0.7287349665924276,0.8115088714837724,0.8307349665924276,,45.782877683639526,449
vgg16,PGDRS,0.0,0.0,0.0,0.0,49204.87973273942,2946.625758521541,8.653396309085837,0.03137257695198059,0.0004995083362475983,0.898,0.898,1.0,1.0,,448.425906419754,449
vgg16,PGDRSL2,54.78841870824054,60.41347577233653,54.07355298639669,54.189400093950034,49105.701559020046,226.56862564507315,0.9910880661857041,0.05541866344870597,6.583608477814883e-06,0.898,0.35011581291759464,0.3898839787501054,0.4521158129175946,,965.8480987548828,449
vgg16,RFGSM,0.0,0.0,0.0,0.0,50070.27616926503,2748.12220624826,8.03519016384813,0.03137257695198059,0.00042930741298929237,0.898,0.898,1.0,1.0,,62.90625190734863,449
vgg16,SINIFGSM,6.013363028953229,11.588987256681753,6.106490225914839,5.736583724029574,49883.46770601336,3839.504167246659,10.618094505870793,0.03137257695198059,0.0007494565333864073,0.898,0.8378663697104677,0.9330360464481823,0.9398663697104677,,254.52851510047913,449
