source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
resnet18,resnet18,APGD,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,APGD,500,500,54,0.108,1.0,2025-09-24 11:12:35
resnet18,densenet121,APGD,500,500,72,0.144,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,APGD,500,500,40,0.08,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,APGD,500,500,34,0.068,1.0,2025-09-24 11:12:35
resnet18,resnet18,APGDT,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,APGDT,500,500,54,0.108,1.0,2025-09-24 11:12:35
resnet18,densenet121,APGDT,500,500,36,0.072,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,APGDT,500,500,22,0.044,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,APGDT,500,500,23,0.046,1.0,2025-09-24 11:12:35
resnet18,resnet18,BIM,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,BIM,500,500,71,0.142,1.0,2025-09-24 11:12:35
resnet18,densenet121,BIM,500,500,112,0.224,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,BIM,500,500,55,0.11,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,BIM,500,500,49,0.098,1.0,2025-09-24 11:12:35
resnet18,resnet18,CW,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,CW,500,500,30,0.06,1.0,2025-09-24 11:12:35
resnet18,densenet121,CW,500,500,11,0.022,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,CW,500,500,3,0.006,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,CW,500,500,7,0.014,1.0,2025-09-24 11:12:35
resnet18,resnet18,DeepFool,500,500,304,0.608,1.0,2025-09-24 11:12:35
resnet18,vgg16,DeepFool,500,500,21,0.042,1.0,2025-09-24 11:12:35
resnet18,densenet121,DeepFool,500,500,4,0.008,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,DeepFool,500,500,5,0.01,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,DeepFool,500,500,5,0.01,1.0,2025-09-24 11:12:35
resnet18,resnet18,DIFGSM,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,DIFGSM,500,500,117,0.234,1.0,2025-09-24 11:12:35
resnet18,densenet121,DIFGSM,500,500,230,0.46,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,DIFGSM,500,500,119,0.238,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,DIFGSM,500,500,110,0.22,1.0,2025-09-24 11:12:35
resnet18,resnet18,EADEN,500,500,494,0.988,1.0,2025-09-24 11:12:35
resnet18,vgg16,EADEN,500,500,22,0.044,1.0,2025-09-24 11:12:35
resnet18,densenet121,EADEN,500,500,5,0.01,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,EADEN,500,500,6,0.012,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,EADEN,500,500,3,0.006,1.0,2025-09-24 11:12:35
resnet18,resnet18,EADL1,500,500,486,0.972,1.0,2025-09-24 11:12:35
resnet18,vgg16,EADL1,500,500,21,0.042,1.0,2025-09-24 11:12:35
resnet18,densenet121,EADL1,500,500,5,0.01,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,EADL1,500,500,3,0.006,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,EADL1,500,500,5,0.01,1.0,2025-09-24 11:12:35
resnet18,resnet18,EOTPGD,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,EOTPGD,500,500,78,0.156,1.0,2025-09-24 11:12:35
resnet18,densenet121,EOTPGD,500,500,113,0.226,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,EOTPGD,500,500,50,0.1,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,EOTPGD,500,500,47,0.094,1.0,2025-09-24 11:12:35
resnet18,resnet18,FAB,500,500,435,0.87,1.0,2025-09-24 11:12:35
resnet18,vgg16,FAB,500,500,20,0.04,1.0,2025-09-24 11:12:35
resnet18,densenet121,FAB,500,500,1,0.002,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,FAB,500,500,3,0.006,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,FAB,500,500,4,0.008,1.0,2025-09-24 11:12:35
resnet18,resnet18,FFGSM,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,FFGSM,500,500,84,0.168,1.0,2025-09-24 11:12:35
resnet18,densenet121,FFGSM,500,500,78,0.156,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,FFGSM,500,500,53,0.106,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,FFGSM,500,500,39,0.078,1.0,2025-09-24 11:12:35
resnet18,resnet18,FGSM,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,FGSM,500,500,98,0.196,1.0,2025-09-24 11:12:35
resnet18,densenet121,FGSM,500,500,82,0.164,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,FGSM,500,500,64,0.128,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,FGSM,500,500,58,0.116,1.0,2025-09-24 11:12:35
resnet18,resnet18,GN,441,441,441,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,GN,441,441,180,0.40816326530612246,1.0,2025-09-24 11:12:35
resnet18,densenet121,GN,441,441,176,0.39909297052154197,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,GN,441,441,201,0.4557823129251701,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,GN,441,441,388,0.8798185941043084,1.0,2025-09-24 11:12:35
resnet18,resnet18,Jitter,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,Jitter,500,500,42,0.084,1.0,2025-09-24 11:12:35
resnet18,densenet121,Jitter,500,500,25,0.05,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,Jitter,500,500,21,0.042,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,Jitter,500,500,18,0.036,1.0,2025-09-24 11:12:35
resnet18,resnet18,MIFGSM,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,MIFGSM,500,500,111,0.222,1.0,2025-09-24 11:12:35
resnet18,densenet121,MIFGSM,500,500,163,0.326,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,MIFGSM,500,500,92,0.184,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,MIFGSM,500,500,79,0.158,1.0,2025-09-24 11:12:35
resnet18,resnet18,NIFGSM,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,NIFGSM,500,500,85,0.17,1.0,2025-09-24 11:12:35
resnet18,densenet121,NIFGSM,500,500,117,0.234,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,NIFGSM,500,500,73,0.146,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,NIFGSM,500,500,55,0.11,1.0,2025-09-24 11:12:35
resnet18,resnet18,PGD,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,PGD,500,500,63,0.126,1.0,2025-09-24 11:12:35
resnet18,densenet121,PGD,500,500,121,0.242,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,PGD,500,500,58,0.116,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,PGD,500,500,46,0.092,1.0,2025-09-24 11:12:35
resnet18,resnet18,PGDL2,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,PGDL2,500,500,28,0.056,1.0,2025-09-24 11:12:35
resnet18,densenet121,PGDL2,500,500,8,0.016,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,PGDL2,500,500,11,0.022,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,PGDL2,500,500,7,0.014,1.0,2025-09-24 11:12:35
resnet18,resnet18,PGDRS,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,PGDRS,500,500,117,0.234,1.0,2025-09-24 11:12:35
resnet18,densenet121,PGDRS,500,500,169,0.338,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,PGDRS,500,500,84,0.168,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,PGDRS,500,500,70,0.14,1.0,2025-09-24 11:12:35
resnet18,resnet18,PGDRSL2,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,PGDRSL2,500,500,51,0.102,1.0,2025-09-24 11:12:35
resnet18,densenet121,PGDRSL2,500,500,16,0.032,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,PGDRSL2,500,500,13,0.026,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,PGDRSL2,500,500,17,0.034,1.0,2025-09-24 11:12:35
resnet18,resnet18,RFGSM,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,RFGSM,500,500,78,0.156,1.0,2025-09-24 11:12:35
resnet18,densenet121,RFGSM,500,500,114,0.228,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,RFGSM,500,500,60,0.12,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,RFGSM,500,500,43,0.086,1.0,2025-09-24 11:12:35
resnet18,resnet18,SINIFGSM,500,500,500,1.0,1.0,2025-09-24 11:12:35
resnet18,vgg16,SINIFGSM,500,500,122,0.244,1.0,2025-09-24 11:12:35
resnet18,densenet121,SINIFGSM,500,500,181,0.362,1.0,2025-09-24 11:12:35
resnet18,mobilenet_v2,SINIFGSM,500,500,84,0.168,1.0,2025-09-24 11:12:35
resnet18,efficientnet_b0,SINIFGSM,500,500,91,0.182,1.0,2025-09-24 11:12:35
