source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
resnet18,resnet18,APGD,500,500,500,1.0,1.0,2026-03-24 10:42:10
resnet18,vgg16,APGD,500,500,72,0.144,1.0,2026-03-24 10:42:55
resnet18,densenet121,APGD,500,500,79,0.158,1.0,2026-03-24 10:43:04
resnet18,mobilenet_v2,APGD,500,500,46,0.092,1.0,2026-03-24 10:43:21
resnet18,efficientnet_b0,APGD,500,500,38,0.076,1.0,2026-03-24 10:43:37
resnet18,resnet18,APGDT,500,500,500,1.0,1.0,2026-03-24 10:45:20
resnet18,vgg16,APGDT,500,500,51,0.102,1.0,2026-03-24 10:45:56
resnet18,densenet121,APGDT,500,500,40,0.08,1.0,2026-03-24 10:46:05
resnet18,mobilenet_v2,APGDT,500,500,26,0.052,1.0,2026-03-24 10:46:20
resnet18,efficientnet_b0,APGDT,500,500,26,0.052,1.0,2026-03-24 10:46:36
resnet18,resnet18,BIM,500,500,500,1.0,1.0,2026-03-24 10:47:49
resnet18,vgg16,BIM,500,500,70,0.14,1.0,2026-03-24 10:48:31
resnet18,densenet121,BIM,500,500,106,0.212,1.0,2026-03-24 10:48:39
resnet18,mobilenet_v2,BIM,500,500,44,0.088,1.0,2026-03-24 10:48:55
resnet18,efficientnet_b0,BIM,500,500,50,0.1,1.0,2026-03-24 10:49:11
resnet18,resnet18,CW,500,500,500,1.0,1.0,2026-03-24 10:51:35
resnet18,vgg16,CW,500,500,30,0.06,1.0,2026-03-24 10:52:11
resnet18,densenet121,CW,500,500,11,0.022,1.0,2026-03-24 10:52:21
resnet18,mobilenet_v2,CW,500,500,3,0.006,1.0,2026-03-24 10:52:36
resnet18,efficientnet_b0,CW,500,500,7,0.014,1.0,2026-03-24 10:52:52
resnet18,resnet18,DeepFool,500,500,391,0.782,1.0,2026-03-24 10:55:21
resnet18,vgg16,DeepFool,500,500,21,0.042,1.0,2026-03-24 10:55:53
resnet18,densenet121,DeepFool,500,500,4,0.008,1.0,2026-03-24 10:56:02
resnet18,mobilenet_v2,DeepFool,500,500,5,0.01,1.0,2026-03-24 10:56:17
resnet18,efficientnet_b0,DeepFool,500,500,5,0.01,1.0,2026-03-24 10:56:30
resnet18,resnet18,DIFGSM,500,500,500,1.0,1.0,2026-03-24 10:57:41
resnet18,vgg16,DIFGSM,500,500,118,0.236,1.0,2026-03-24 10:58:21
resnet18,densenet121,DIFGSM,500,500,232,0.464,1.0,2026-03-24 10:58:30
resnet18,mobilenet_v2,DIFGSM,500,500,112,0.224,1.0,2026-03-24 10:58:39
resnet18,efficientnet_b0,DIFGSM,500,500,107,0.214,1.0,2026-03-24 10:58:48
resnet18,resnet18,EADEN,500,500,496,0.992,1.0,2026-03-24 11:23:57
resnet18,vgg16,EADEN,500,500,22,0.044,1.0,2026-03-24 11:24:29
resnet18,densenet121,EADEN,500,500,4,0.008,1.0,2026-03-24 11:24:38
resnet18,mobilenet_v2,EADEN,500,500,5,0.01,1.0,2026-03-24 11:24:46
resnet18,efficientnet_b0,EADEN,500,500,3,0.006,1.0,2026-03-24 11:24:55
resnet18,resnet18,EADL1,500,500,492,0.984,1.0,2026-03-24 11:49:44
resnet18,vgg16,EADL1,500,500,21,0.042,1.0,2026-03-24 11:50:14
resnet18,densenet121,EADL1,500,500,5,0.01,1.0,2026-03-24 11:50:23
resnet18,mobilenet_v2,EADL1,500,500,3,0.006,1.0,2026-03-24 11:50:31
resnet18,efficientnet_b0,EADL1,500,500,5,0.01,1.0,2026-03-24 11:50:40
resnet18,resnet18,EOTPGD,500,500,500,1.0,1.0,2026-03-24 11:52:30
resnet18,vgg16,EOTPGD,500,500,80,0.16,1.0,2026-03-24 11:53:02
resnet18,densenet121,EOTPGD,500,500,106,0.212,1.0,2026-03-24 11:53:11
resnet18,mobilenet_v2,EOTPGD,500,500,46,0.092,1.0,2026-03-24 11:53:21
resnet18,efficientnet_b0,EOTPGD,500,500,44,0.088,1.0,2026-03-24 11:53:32
resnet18,resnet18,FAB,500,500,467,0.934,1.0,2026-03-24 11:59:45
resnet18,vgg16,FAB,500,500,20,0.04,1.0,2026-03-24 12:00:15
resnet18,densenet121,FAB,500,500,1,0.002,1.0,2026-03-24 12:00:26
resnet18,mobilenet_v2,FAB,500,500,3,0.006,1.0,2026-03-24 12:00:40
resnet18,efficientnet_b0,FAB,500,500,4,0.008,1.0,2026-03-24 12:00:55
resnet18,resnet18,FFGSM,500,500,500,1.0,1.0,2026-03-24 12:01:29
resnet18,vgg16,FFGSM,500,500,90,0.18,1.0,2026-03-24 12:02:10
resnet18,densenet121,FFGSM,500,500,84,0.168,1.0,2026-03-24 12:02:21
resnet18,mobilenet_v2,FFGSM,500,500,54,0.108,1.0,2026-03-24 12:02:34
resnet18,efficientnet_b0,FFGSM,500,500,39,0.078,1.0,2026-03-24 12:02:49
resnet18,resnet18,FGSM,500,500,500,1.0,1.0,2026-03-24 12:03:24
resnet18,vgg16,FGSM,500,500,96,0.192,1.0,2026-03-24 12:04:13
resnet18,densenet121,FGSM,500,500,84,0.168,1.0,2026-03-24 12:04:25
resnet18,mobilenet_v2,FGSM,500,500,61,0.122,1.0,2026-03-24 12:04:39
resnet18,efficientnet_b0,FGSM,500,500,61,0.122,1.0,2026-03-24 12:04:53
resnet18,resnet18,GN,442,442,442,1.0,1.0,2026-03-24 12:06:05
resnet18,vgg16,GN,442,442,181,0.4095022624434389,1.0,2026-03-24 12:06:39
resnet18,densenet121,GN,442,442,174,0.3936651583710407,1.0,2026-03-24 12:07:05
resnet18,mobilenet_v2,GN,442,442,216,0.48868778280542985,1.0,2026-03-24 12:07:21
resnet18,efficientnet_b0,GN,442,442,393,0.8891402714932126,1.0,2026-03-24 12:07:37
resnet18,resnet18,Jitter,500,500,500,1.0,1.0,2026-03-24 12:09:11
resnet18,vgg16,Jitter,500,500,40,0.08,1.0,2026-03-24 12:10:06
resnet18,densenet121,Jitter,500,500,27,0.054,1.0,2026-03-24 12:10:30
resnet18,mobilenet_v2,Jitter,500,500,19,0.038,1.0,2026-03-24 12:10:44
resnet18,efficientnet_b0,Jitter,500,500,17,0.034,1.0,2026-03-24 12:10:58
resnet18,resnet18,MIFGSM,500,500,500,1.0,1.0,2026-03-24 12:12:04
resnet18,vgg16,MIFGSM,500,500,108,0.216,1.0,2026-03-24 12:13:02
resnet18,densenet121,MIFGSM,500,500,160,0.32,1.0,2026-03-24 12:13:13
resnet18,mobilenet_v2,MIFGSM,500,500,90,0.18,1.0,2026-03-24 12:13:28
resnet18,efficientnet_b0,MIFGSM,500,500,79,0.158,1.0,2026-03-24 12:13:43
resnet18,resnet18,NIFGSM,500,500,500,1.0,1.0,2026-03-24 12:14:41
resnet18,vgg16,NIFGSM,500,500,84,0.168,1.0,2026-03-24 12:16:01
resnet18,densenet121,NIFGSM,500,500,126,0.252,1.0,2026-03-24 12:16:13
resnet18,mobilenet_v2,NIFGSM,500,500,76,0.152,1.0,2026-03-24 12:16:28
resnet18,efficientnet_b0,NIFGSM,500,500,59,0.118,1.0,2026-03-24 12:16:42
resnet18,resnet18,OnePixel,25,25,25,1.0,1.0,2026-03-24 12:24:17
resnet18,vgg16,OnePixel,25,25,9,0.36,1.0,2026-03-24 12:24:23
resnet18,densenet121,OnePixel,25,25,1,0.04,1.0,2026-03-24 12:24:23
resnet18,mobilenet_v2,OnePixel,25,25,2,0.08,1.0,2026-03-24 12:24:23
resnet18,efficientnet_b0,OnePixel,25,25,2,0.08,1.0,2026-03-24 12:24:24
resnet18,resnet18,PGD,500,500,500,1.0,1.0,2026-03-24 12:25:37
resnet18,vgg16,PGD,500,500,76,0.152,1.0,2026-03-24 12:26:43
resnet18,densenet121,PGD,500,500,110,0.22,1.0,2026-03-24 12:26:54
resnet18,mobilenet_v2,PGD,500,500,60,0.12,1.0,2026-03-24 12:27:08
resnet18,efficientnet_b0,PGD,500,500,36,0.072,1.0,2026-03-24 12:27:23
resnet18,resnet18,PGDL2,500,500,500,1.0,1.0,2026-03-24 12:28:30
resnet18,vgg16,PGDL2,500,500,25,0.05,1.0,2026-03-24 12:29:54
resnet18,densenet121,PGDL2,500,500,10,0.02,1.0,2026-03-24 12:30:10
resnet18,mobilenet_v2,PGDL2,500,500,7,0.014,1.0,2026-03-24 12:30:24
resnet18,efficientnet_b0,PGDL2,500,500,6,0.012,1.0,2026-03-24 12:30:39
resnet18,resnet18,PGDRS,500,500,500,1.0,1.0,2026-03-24 12:34:26
resnet18,vgg16,PGDRS,500,500,96,0.192,1.0,2026-03-24 12:35:40
resnet18,densenet121,PGDRS,500,500,165,0.33,1.0,2026-03-24 12:35:51
resnet18,mobilenet_v2,PGDRS,500,500,80,0.16,1.0,2026-03-24 12:36:06
resnet18,efficientnet_b0,PGDRS,500,500,87,0.174,1.0,2026-03-24 12:36:21
resnet18,resnet18,PGDRSL2,500,500,500,1.0,1.0,2026-03-24 12:43:19
resnet18,vgg16,PGDRSL2,500,500,54,0.108,1.0,2026-03-24 12:44:48
resnet18,densenet121,PGDRSL2,500,500,17,0.034,1.0,2026-03-24 12:45:07
resnet18,mobilenet_v2,PGDRSL2,500,500,18,0.036,1.0,2026-03-24 12:45:21
resnet18,efficientnet_b0,PGDRSL2,500,500,15,0.03,1.0,2026-03-24 12:45:36
resnet18,resnet18,RFGSM,500,500,500,1.0,1.0,2026-03-24 12:46:50
resnet18,vgg16,RFGSM,500,500,71,0.142,1.0,2026-03-24 12:48:11
resnet18,densenet121,RFGSM,500,500,133,0.266,1.0,2026-03-24 12:48:21
resnet18,mobilenet_v2,RFGSM,500,500,56,0.112,1.0,2026-03-24 12:48:31
resnet18,efficientnet_b0,RFGSM,500,500,46,0.092,1.0,2026-03-24 12:48:40
resnet18,resnet18,SINIFGSM,500,500,500,1.0,1.0,2026-03-24 12:52:44
resnet18,vgg16,SINIFGSM,500,500,129,0.258,1.0,2026-03-24 12:54:16
resnet18,densenet121,SINIFGSM,500,500,173,0.346,1.0,2026-03-24 12:54:36
resnet18,mobilenet_v2,SINIFGSM,500,500,100,0.2,1.0,2026-03-24 12:54:46
resnet18,efficientnet_b0,SINIFGSM,500,500,71,0.142,1.0,2026-03-24 12:54:56
resnet18,resnet18,SPSA,500,500,500,1.0,1.0,2026-03-24 13:01:01
resnet18,vgg16,SPSA,500,500,67,0.134,1.0,2026-03-24 13:02:28
resnet18,densenet121,SPSA,500,500,40,0.08,1.0,2026-03-24 13:02:39
resnet18,mobilenet_v2,SPSA,500,500,48,0.096,1.0,2026-03-24 13:02:49
resnet18,efficientnet_b0,SPSA,500,500,412,0.824,1.0,2026-03-24 13:02:59
resnet18,resnet18,TIFGSM,500,500,500,1.0,1.0,2026-03-24 13:04:13
resnet18,vgg16,TIFGSM,500,500,60,0.12,1.0,2026-03-24 13:05:47
resnet18,densenet121,TIFGSM,500,500,110,0.22,1.0,2026-03-24 13:06:07
resnet18,mobilenet_v2,TIFGSM,500,500,50,0.1,1.0,2026-03-24 13:06:17
resnet18,efficientnet_b0,TIFGSM,500,500,46,0.092,1.0,2026-03-24 13:06:27
resnet18,resnet18,TPGD,500,500,500,1.0,1.0,2026-03-24 13:08:26
resnet18,vgg16,TPGD,500,500,70,0.14,1.0,2026-03-24 13:09:55
resnet18,densenet121,TPGD,500,500,122,0.244,1.0,2026-03-24 13:10:10
resnet18,mobilenet_v2,TPGD,500,500,62,0.124,1.0,2026-03-24 13:10:20
resnet18,efficientnet_b0,TPGD,500,500,55,0.11,1.0,2026-03-24 13:10:30
resnet18,resnet18,UPGD,500,500,500,1.0,1.0,2026-03-24 13:11:42
resnet18,vgg16,UPGD,500,500,111,0.222,1.0,2026-03-24 13:13:16
resnet18,densenet121,UPGD,500,500,171,0.342,1.0,2026-03-24 13:13:36
resnet18,mobilenet_v2,UPGD,500,500,92,0.184,1.0,2026-03-24 13:13:46
resnet18,efficientnet_b0,UPGD,500,500,82,0.164,1.0,2026-03-24 13:13:56
resnet18,resnet18,VMIFGSM,500,500,500,1.0,1.0,2026-03-24 13:18:42
resnet18,vgg16,VMIFGSM,500,500,152,0.304,1.0,2026-03-24 13:20:15
resnet18,densenet121,VMIFGSM,500,500,232,0.464,1.0,2026-03-24 13:20:34
resnet18,mobilenet_v2,VMIFGSM,500,500,143,0.286,1.0,2026-03-24 13:20:44
resnet18,efficientnet_b0,VMIFGSM,500,500,133,0.266,1.0,2026-03-24 13:20:54
resnet18,resnet18,VNIFGSM,500,500,500,1.0,1.0,2026-03-24 13:25:42
resnet18,vgg16,VNIFGSM,500,500,166,0.332,1.0,2026-03-24 13:27:17
resnet18,densenet121,VNIFGSM,500,500,242,0.484,1.0,2026-03-24 13:27:37
resnet18,mobilenet_v2,VNIFGSM,500,500,131,0.262,1.0,2026-03-24 13:27:47
resnet18,efficientnet_b0,VNIFGSM,500,500,124,0.248,1.0,2026-03-24 13:27:56
resnet18,resnet18,Pixle,500,500,498,0.996,1.0,2026-03-24 13:50:04
resnet18,vgg16,Pixle,500,500,96,0.192,1.0,2026-03-24 13:51:39
resnet18,densenet121,Pixle,500,500,39,0.078,1.0,2026-03-24 13:51:59
resnet18,mobilenet_v2,Pixle,500,500,12,0.024,1.0,2026-03-24 13:52:09
resnet18,efficientnet_b0,Pixle,500,500,7,0.014,1.0,2026-03-24 13:52:19
resnet18,resnet18,Square,500,500,498,0.996,1.0,2026-03-24 14:41:54
resnet18,vgg16,Square,500,500,34,0.068,1.0,2026-03-24 14:43:29
resnet18,densenet121,Square,500,500,16,0.032,1.0,2026-03-24 14:43:49
resnet18,mobilenet_v2,Square,500,500,21,0.042,1.0,2026-03-24 14:43:59
resnet18,efficientnet_b0,Square,500,500,18,0.036,1.0,2026-03-24 14:44:09
