source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
resnet18,vgg16,APGD,500,500,65,0.13,1.0,2026-03-20 19:16:41
resnet18,vgg16,APGD,500,500,63,0.126,1.0,2026-03-20 21:58:10
resnet18,densenet121,APGD,500,500,83,0.166,1.0,2026-03-20 21:58:47
resnet18,mobilenet_v2,APGD,500,500,45,0.09,1.0,2026-03-20 21:59:09
resnet18,efficientnet_b0,APGD,500,500,34,0.068,1.0,2026-03-20 21:59:29
resnet18,vgg16,APGDT,500,500,51,0.102,1.0,2026-03-20 22:02:24
resnet18,densenet121,APGDT,500,500,45,0.09,1.0,2026-03-20 22:02:52
resnet18,mobilenet_v2,APGDT,500,500,40,0.08,1.0,2026-03-20 22:03:11
resnet18,efficientnet_b0,APGDT,500,500,31,0.062,1.0,2026-03-20 22:03:31
resnet18,vgg16,BIM,500,500,77,0.154,1.0,2026-03-20 22:06:37
resnet18,densenet121,BIM,500,500,132,0.264,1.0,2026-03-20 22:06:58
resnet18,mobilenet_v2,BIM,500,500,69,0.138,1.0,2026-03-20 22:07:11
resnet18,efficientnet_b0,BIM,500,500,49,0.098,1.0,2026-03-20 22:07:24
resnet18,vgg16,CW,500,500,22,0.044,1.0,2026-03-20 22:09:47
resnet18,densenet121,CW,500,500,4,0.008,1.0,2026-03-20 22:09:52
resnet18,mobilenet_v2,CW,500,500,3,0.006,1.0,2026-03-20 22:10:02
resnet18,efficientnet_b0,CW,500,500,5,0.01,1.0,2026-03-20 22:10:13
resnet18,vgg16,DeepFool,500,500,21,0.042,1.0,2026-03-20 22:12:43
resnet18,densenet121,DeepFool,500,500,2,0.004,1.0,2026-03-20 22:12:47
resnet18,mobilenet_v2,DeepFool,500,500,1,0.002,1.0,2026-03-20 22:12:58
resnet18,efficientnet_b0,DeepFool,500,500,3,0.006,1.0,2026-03-20 22:13:08
resnet18,vgg16,DIFGSM,500,500,111,0.222,1.0,2026-03-20 22:14:18
resnet18,densenet121,DIFGSM,500,500,227,0.454,1.0,2026-03-20 22:14:22
resnet18,mobilenet_v2,DIFGSM,500,500,95,0.19,1.0,2026-03-20 22:14:32
resnet18,efficientnet_b0,DIFGSM,500,500,93,0.186,1.0,2026-03-20 22:14:42
resnet18,vgg16,EADEN,500,500,19,0.038,1.0,2026-03-20 22:38:54
resnet18,densenet121,EADEN,500,500,5,0.01,1.0,2026-03-20 22:38:59
resnet18,mobilenet_v2,EADEN,500,500,4,0.008,1.0,2026-03-20 22:39:09
resnet18,efficientnet_b0,EADEN,500,500,5,0.01,1.0,2026-03-20 22:39:19
resnet18,vgg16,EADL1,500,500,19,0.038,1.0,2026-03-20 23:03:18
resnet18,densenet121,EADL1,500,500,3,0.006,1.0,2026-03-20 23:03:23
resnet18,mobilenet_v2,EADL1,500,500,4,0.008,1.0,2026-03-20 23:03:33
resnet18,efficientnet_b0,EADL1,500,500,2,0.004,1.0,2026-03-20 23:03:44
resnet18,vgg16,EOTPGD,500,500,48,0.096,1.0,2026-03-20 23:05:58
resnet18,densenet121,EOTPGD,500,500,93,0.186,1.0,2026-03-20 23:06:03
resnet18,mobilenet_v2,EOTPGD,500,500,48,0.096,1.0,2026-03-20 23:06:14
resnet18,efficientnet_b0,EOTPGD,500,500,33,0.066,1.0,2026-03-20 23:06:24
resnet18,vgg16,FAB,500,500,26,0.052,1.0,2026-03-20 23:33:50
resnet18,densenet121,FAB,500,500,5,0.01,1.0,2026-03-20 23:34:24
resnet18,mobilenet_v2,FAB,500,500,3,0.006,1.0,2026-03-20 23:34:44
resnet18,efficientnet_b0,FAB,500,500,4,0.008,1.0,2026-03-20 23:35:05
resnet18,vgg16,FFGSM,500,500,75,0.15,1.0,2026-03-20 23:36:10
resnet18,densenet121,FFGSM,500,500,79,0.158,1.0,2026-03-20 23:36:38
resnet18,mobilenet_v2,FFGSM,500,500,61,0.122,1.0,2026-03-20 23:36:57
resnet18,efficientnet_b0,FFGSM,500,500,35,0.07,1.0,2026-03-20 23:37:17
resnet18,vgg16,FGSM,500,500,88,0.176,1.0,2026-03-20 23:38:08
resnet18,densenet121,FGSM,500,500,83,0.166,1.0,2026-03-20 23:38:28
resnet18,mobilenet_v2,FGSM,500,500,59,0.118,1.0,2026-03-20 23:38:41
resnet18,efficientnet_b0,FGSM,500,500,52,0.104,1.0,2026-03-20 23:38:53
resnet18,vgg16,GN,457,457,189,0.4135667396061269,1.0,2026-03-20 23:39:51
resnet18,densenet121,GN,457,457,174,0.38074398249452956,1.0,2026-03-20 23:39:56
resnet18,mobilenet_v2,GN,457,457,215,0.47045951859956237,1.0,2026-03-20 23:39:59
resnet18,efficientnet_b0,GN,457,457,404,0.8840262582056893,1.0,2026-03-20 23:40:00
resnet18,vgg16,Jitter,500,500,38,0.076,1.0,2026-03-20 23:41:47
resnet18,densenet121,Jitter,500,500,33,0.066,1.0,2026-03-20 23:42:01
resnet18,mobilenet_v2,Jitter,500,500,18,0.036,1.0,2026-03-20 23:42:11
resnet18,efficientnet_b0,Jitter,500,500,16,0.032,1.0,2026-03-20 23:42:22
resnet18,vgg16,MIFGSM,500,500,108,0.216,1.0,2026-03-20 23:44:06
resnet18,densenet121,MIFGSM,500,500,165,0.33,1.0,2026-03-20 23:44:22
resnet18,mobilenet_v2,MIFGSM,500,500,84,0.168,1.0,2026-03-20 23:44:32
resnet18,efficientnet_b0,MIFGSM,500,500,83,0.166,1.0,2026-03-20 23:44:42
resnet18,vgg16,NIFGSM,500,500,92,0.184,1.0,2026-03-20 23:46:26
resnet18,densenet121,NIFGSM,500,500,109,0.218,1.0,2026-03-20 23:46:44
resnet18,mobilenet_v2,NIFGSM,500,500,74,0.148,1.0,2026-03-20 23:46:54
resnet18,efficientnet_b0,NIFGSM,500,500,64,0.128,1.0,2026-03-20 23:47:04
resnet18,vgg16,OnePixel,24,24,9,0.375,1.0,2026-03-20 23:54:29
resnet18,densenet121,OnePixel,24,24,0,0.0,1.0,2026-03-20 23:54:30
resnet18,mobilenet_v2,OnePixel,24,24,2,0.08333333333333333,1.0,2026-03-20 23:54:30
resnet18,efficientnet_b0,OnePixel,24,24,2,0.08333333333333333,1.0,2026-03-20 23:54:30
resnet18,vgg16,PGD,500,500,65,0.13,1.0,2026-03-20 23:56:11
resnet18,densenet121,PGD,500,500,109,0.218,1.0,2026-03-20 23:56:33
resnet18,mobilenet_v2,PGD,500,500,53,0.106,1.0,2026-03-20 23:56:44
resnet18,efficientnet_b0,PGD,500,500,36,0.072,1.0,2026-03-20 23:56:54
resnet18,vgg16,PGDL2,500,500,29,0.058,1.0,2026-03-20 23:58:53
resnet18,densenet121,PGDL2,500,500,18,0.036,1.0,2026-03-20 23:59:16
resnet18,mobilenet_v2,PGDL2,500,500,9,0.018,1.0,2026-03-20 23:59:26
resnet18,efficientnet_b0,PGDL2,500,500,9,0.018,1.0,2026-03-20 23:59:37
resnet18,vgg16,PGDRS,500,500,89,0.178,1.0,2026-03-21 00:04:09
resnet18,densenet121,PGDRS,500,500,136,0.272,1.0,2026-03-21 00:04:31
resnet18,mobilenet_v2,PGDRS,500,500,79,0.158,1.0,2026-03-21 00:04:42
resnet18,efficientnet_b0,PGDRS,500,500,70,0.14,1.0,2026-03-21 00:04:52
resnet18,vgg16,PGDRSL2,500,500,46,0.092,1.0,2026-03-21 00:12:38
resnet18,densenet121,PGDRSL2,500,500,22,0.044,1.0,2026-03-21 00:13:00
resnet18,mobilenet_v2,PGDRSL2,500,500,9,0.018,1.0,2026-03-21 00:13:10
resnet18,efficientnet_b0,PGDRSL2,500,500,14,0.028,1.0,2026-03-21 00:13:21
resnet18,vgg16,RFGSM,500,500,66,0.132,1.0,2026-03-21 00:15:21
resnet18,densenet121,RFGSM,500,500,126,0.252,1.0,2026-03-21 00:15:43
resnet18,mobilenet_v2,RFGSM,500,500,58,0.116,1.0,2026-03-21 00:15:54
resnet18,efficientnet_b0,RFGSM,500,500,46,0.092,1.0,2026-03-21 00:16:04
resnet18,vgg16,SINIFGSM,500,500,131,0.262,1.0,2026-03-21 00:21:01
resnet18,densenet121,SINIFGSM,500,500,166,0.332,1.0,2026-03-21 00:21:23
resnet18,mobilenet_v2,SINIFGSM,500,500,99,0.198,1.0,2026-03-21 00:21:34
resnet18,efficientnet_b0,SINIFGSM,500,500,94,0.188,1.0,2026-03-21 00:21:44
resnet18,vgg16,SPSA,500,500,63,0.126,1.0,2026-03-21 00:28:45
resnet18,densenet121,SPSA,500,500,46,0.092,1.0,2026-03-21 00:29:07
resnet18,mobilenet_v2,SPSA,500,500,37,0.074,1.0,2026-03-21 00:29:17
resnet18,efficientnet_b0,SPSA,500,500,411,0.822,1.0,2026-03-21 00:29:28
resnet18,vgg16,TIFGSM,500,500,59,0.118,1.0,2026-03-21 00:31:43
resnet18,densenet121,TIFGSM,500,500,99,0.198,1.0,2026-03-21 00:32:06
resnet18,mobilenet_v2,TIFGSM,500,500,32,0.064,1.0,2026-03-21 00:32:16
resnet18,efficientnet_b0,TIFGSM,500,500,38,0.076,1.0,2026-03-21 00:32:26
resnet18,vgg16,TPGD,500,500,65,0.13,1.0,2026-03-21 00:35:28
resnet18,densenet121,TPGD,500,500,130,0.26,1.0,2026-03-21 00:35:51
resnet18,mobilenet_v2,TPGD,500,500,47,0.094,1.0,2026-03-21 00:36:01
resnet18,efficientnet_b0,TPGD,500,500,51,0.102,1.0,2026-03-21 00:36:12
resnet18,vgg16,UPGD,500,500,109,0.218,1.0,2026-03-21 00:38:32
resnet18,densenet121,UPGD,500,500,174,0.348,1.0,2026-03-21 00:38:54
resnet18,mobilenet_v2,UPGD,500,500,103,0.206,1.0,2026-03-21 00:39:05
resnet18,efficientnet_b0,UPGD,500,500,87,0.174,1.0,2026-03-21 00:39:15
resnet18,vgg16,VMIFGSM,500,500,145,0.29,1.0,2026-03-21 00:45:01
resnet18,densenet121,VMIFGSM,500,500,244,0.488,1.0,2026-03-21 00:45:23
resnet18,mobilenet_v2,VMIFGSM,500,500,129,0.258,1.0,2026-03-21 00:45:34
resnet18,efficientnet_b0,VMIFGSM,500,500,118,0.236,1.0,2026-03-21 00:45:44
resnet18,vgg16,VNIFGSM,500,500,168,0.336,1.0,2026-03-21 00:51:35
resnet18,densenet121,VNIFGSM,500,500,262,0.524,1.0,2026-03-21 00:51:58
resnet18,mobilenet_v2,VNIFGSM,500,500,159,0.318,1.0,2026-03-21 00:52:09
resnet18,efficientnet_b0,VNIFGSM,500,500,152,0.304,1.0,2026-03-21 00:52:19
resnet18,vgg16,Pixle,500,500,107,0.214,1.0,2026-03-21 01:16:27
resnet18,densenet121,Pixle,500,500,42,0.084,1.0,2026-03-21 01:16:50
resnet18,mobilenet_v2,Pixle,500,500,9,0.018,1.0,2026-03-21 01:17:00
resnet18,efficientnet_b0,Pixle,500,500,10,0.02,1.0,2026-03-21 01:17:11
resnet18,vgg16,Square,500,500,43,0.086,1.0,2026-03-21 02:12:53
resnet18,densenet121,Square,500,500,14,0.028,1.0,2026-03-21 02:13:16
resnet18,mobilenet_v2,Square,500,500,15,0.03,1.0,2026-03-21 02:13:27
resnet18,efficientnet_b0,Square,500,500,19,0.038,1.0,2026-03-21 02:13:37
vgg16,resnet18,APGD,500,500,85,0.17,1.0,2026-03-21 02:15:19
vgg16,densenet121,APGD,500,500,53,0.106,1.0,2026-03-21 02:15:39
vgg16,mobilenet_v2,APGD,500,500,71,0.142,1.0,2026-03-21 02:15:49
vgg16,efficientnet_b0,APGD,500,500,46,0.092,1.0,2026-03-21 02:15:59
vgg16,resnet18,APGDT,500,500,31,0.062,1.0,2026-03-21 02:17:18
vgg16,densenet121,APGDT,500,500,19,0.038,1.0,2026-03-21 02:17:38
vgg16,mobilenet_v2,APGDT,500,500,26,0.052,1.0,2026-03-21 02:17:48
vgg16,efficientnet_b0,APGDT,500,500,28,0.056,1.0,2026-03-21 02:17:58
vgg16,resnet18,BIM,500,500,106,0.212,1.0,2026-03-21 02:19:06
vgg16,densenet121,BIM,500,500,95,0.19,1.0,2026-03-21 02:19:25
vgg16,mobilenet_v2,BIM,500,500,85,0.17,1.0,2026-03-21 02:19:35
vgg16,efficientnet_b0,BIM,500,500,81,0.162,1.0,2026-03-21 02:19:46
vgg16,resnet18,CW,500,500,8,0.016,1.0,2026-03-21 02:21:43
vgg16,densenet121,CW,500,500,0,0.0,1.0,2026-03-21 02:22:03
vgg16,mobilenet_v2,CW,500,500,3,0.006,1.0,2026-03-21 02:22:13
vgg16,efficientnet_b0,CW,500,500,5,0.01,1.0,2026-03-21 02:22:23
vgg16,resnet18,DeepFool,500,500,15,0.03,1.0,2026-03-21 02:24:55
vgg16,densenet121,DeepFool,500,500,5,0.01,1.0,2026-03-21 02:25:15
vgg16,mobilenet_v2,DeepFool,500,500,3,0.006,1.0,2026-03-21 02:25:25
vgg16,efficientnet_b0,DeepFool,500,500,0,0.0,1.0,2026-03-21 02:25:35
vgg16,resnet18,DIFGSM,500,500,144,0.288,1.0,2026-03-21 02:26:39
vgg16,densenet121,DIFGSM,500,500,146,0.292,1.0,2026-03-21 02:26:58
vgg16,mobilenet_v2,DIFGSM,500,500,111,0.222,1.0,2026-03-21 02:27:08
vgg16,efficientnet_b0,DIFGSM,500,500,105,0.21,1.0,2026-03-21 02:27:19
vgg16,resnet18,EADEN,500,500,9,0.018,1.0,2026-03-21 02:47:49
vgg16,densenet121,EADEN,500,500,9,0.018,1.0,2026-03-21 02:48:09
vgg16,mobilenet_v2,EADEN,500,500,9,0.018,1.0,2026-03-21 02:48:19
vgg16,efficientnet_b0,EADEN,500,500,4,0.008,1.0,2026-03-21 02:48:29
vgg16,resnet18,EADL1,500,500,10,0.02,1.0,2026-03-21 03:08:58
vgg16,densenet121,EADL1,500,500,3,0.006,1.0,2026-03-21 03:09:18
vgg16,mobilenet_v2,EADL1,500,500,5,0.01,1.0,2026-03-21 03:09:28
vgg16,efficientnet_b0,EADL1,500,500,2,0.004,1.0,2026-03-21 03:09:38
vgg16,resnet18,EOTPGD,500,500,97,0.194,1.0,2026-03-21 03:11:23
