source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
resnet18,vgg16,APGD,500,500,67,0.134,1.0,2025-09-24 07:00:09
resnet18,densenet121,APGD,500,500,89,0.178,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,APGD,500,500,40,0.08,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,APGD,500,500,29,0.058,1.0,2025-09-24 07:00:09
resnet18,vgg16,APGDT,500,500,55,0.11,1.0,2025-09-24 07:00:09
resnet18,densenet121,APGDT,500,500,42,0.084,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,APGDT,500,500,36,0.072,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,APGDT,500,500,25,0.05,1.0,2025-09-24 07:00:09
resnet18,vgg16,BIM,500,500,77,0.154,1.0,2025-09-24 07:00:09
resnet18,densenet121,BIM,500,500,128,0.256,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,BIM,500,500,66,0.132,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,BIM,500,500,52,0.104,1.0,2025-09-24 07:00:09
resnet18,vgg16,CW,500,500,22,0.044,1.0,2025-09-24 07:00:09
resnet18,densenet121,CW,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,CW,500,500,3,0.006,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,CW,500,500,5,0.01,1.0,2025-09-24 07:00:09
resnet18,vgg16,DeepFool,500,500,21,0.042,1.0,2025-09-24 07:00:09
resnet18,densenet121,DeepFool,500,500,2,0.004,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,DeepFool,500,500,1,0.002,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,DeepFool,500,500,3,0.006,1.0,2025-09-24 07:00:09
resnet18,vgg16,DIFGSM,500,500,117,0.234,1.0,2025-09-24 07:00:09
resnet18,densenet121,DIFGSM,500,500,223,0.446,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,DIFGSM,500,500,97,0.194,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,DIFGSM,500,500,97,0.194,1.0,2025-09-24 07:00:09
resnet18,vgg16,EADEN,500,500,20,0.04,1.0,2025-09-24 07:00:09
resnet18,densenet121,EADEN,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,EADEN,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,EADEN,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,vgg16,EADL1,500,500,19,0.038,1.0,2025-09-24 07:00:09
resnet18,densenet121,EADL1,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,EADL1,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,EADL1,500,500,2,0.004,1.0,2025-09-24 07:00:09
resnet18,vgg16,EOTPGD,500,500,48,0.096,1.0,2025-09-24 07:00:09
resnet18,densenet121,EOTPGD,500,500,96,0.192,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,EOTPGD,500,500,46,0.092,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,EOTPGD,500,500,33,0.066,1.0,2025-09-24 07:00:09
resnet18,vgg16,FAB,500,500,26,0.052,1.0,2025-09-24 07:00:09
resnet18,densenet121,FAB,500,500,5,0.01,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,FAB,500,500,2,0.004,1.0,2025-09-24 07:00:09
