model_name,class_name,accuracy,precision,recall,f1,samples
resnet18,English springer,0.9924050632911392,1.0,0.9924050632911392,0.9961880559085133,395
resnet18,tench,0.9819121447028424,1.0,0.9819121447028424,0.9908735332464146,387
resnet18,golf ball,0.9774436090225563,1.0,0.9774436090225563,0.988593155893536,399
resnet18,church,0.9755501222493888,1.0,0.9755501222493888,0.9876237623762376,409
resnet18,parachute,0.9717948717948718,1.0,0.9717948717948718,0.9856957087126137,390
resnet18,French horn,0.9695431472081218,1.0,0.9695431472081218,0.9845360824742267,394
resnet18,garbage truck,0.9665809768637532,1.0,0.9665809768637532,0.9830065359477124,389
resnet18,gas pump,0.9594272076372315,1.0,0.9594272076372315,0.979293544457978,419
resnet18,chain saw,0.9507772020725389,1.0,0.9507772020725389,0.9747675962815405,386
resnet18,cassette player,0.9495798319327731,1.0,0.9495798319327731,0.9741379310344828,357
