model_name,class_name,accuracy,precision,recall,f1,samples
vgg16,English springer,0.9848101265822785,1.0,0.9848101265822785,0.9923469387755103,395
vgg16,tench,0.9844961240310077,1.0,0.9844961240310077,0.9921875,387
vgg16,church,0.9828850855745721,1.0,0.9828850855745721,0.9913686806411837,409
vgg16,cassette player,0.9551820728291317,1.0,0.9551820728291317,0.9770773638968481,357
vgg16,French horn,0.949238578680203,1.0,0.949238578680203,0.9739583333333333,394
vgg16,golf ball,0.9423558897243107,1.0,0.9423558897243107,0.9703225806451613,399
vgg16,parachute,0.9384615384615385,1.0,0.9384615384615385,0.9682539682539683,390
vgg16,garbage truck,0.9383033419023136,1.0,0.9383033419023136,0.9681697612732095,389
vgg16,gas pump,0.8997613365155132,1.0,0.8997613365155132,0.9472361809045227,419
vgg16,chain saw,0.8497409326424871,1.0,0.8497409326424871,0.9187675070028012,386
