Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.16           0.04           0.18           0.08           0.0            0.04           0.0            0.08           0.0            0.0            0.16           0.12           0.08           0.04           
Square         0.08           0.04           0.06           0.12           0.0            0.04           0.0            0.02           0.0            0.0            0.04           0.04           0.02           0.06           
APGD           0.06           0.06           0.12           0.1            0.0            0.1            0.0            0.02           0.0            0.0            0.1            0.06           0.06           0.04           
APGDT          0.06           0.08           0.08           0.08           0.0            0.12           0.0            0.04           0.0            0.0            0.08           0.04           0.08           0.06           
BIM            0.2            0.24           0.34           0.3            0.0            0.34           0.0            0.12           0.0            0.0            0.08           0.14           0.08           0.14           
CW             0.06           0.04           0.02           0.04           0.0            0.08           0.0            0.04           0.0            0.0            0.02           0.02           0.0            0.0            
DeepFool       0.0            0.04           0.02           0.02           0.0            0.06           0.0            0.02           0.0            0.0            0.0            0.0            0.0            0.0            
DIFGSM         0.2            0.22           0.16           0.4            0.0            0.24           0.0            0.08           0.0            0.0            0.1            0.1            0.18           0.14           
EADEN          0.04           0.02           0.0            0.04           0.0            0.08           0.0            0.02           0.0            0.0            0.0            0.0            0.0            0.0            
EADL1          0.02           0.06           0.02           0.04           0.0            0.06           0.0            0.02           0.0            0.0            0.0            0.0            0.0            0.0            
EOTPGD         0.16           0.2            0.3            0.18           0.0            0.32           0.0            0.18           0.0            0.0            0.08           0.1            0.12           0.16           
FAB            0.0            0.02           0.0            0.0            0.0            0.02           0.0            0.02           0.0            0.0            0.0            0.0            0.0            0.0            
FFGSM          0.24           0.2            0.26           0.24           0.0            0.36           0.0            0.1            0.0            0.0            0.06           0.12           0.16           0.1            
FGSM           0.18           0.26           0.36           0.28           0.0            0.26           0.0            0.14           0.0            0.0            0.04           0.1            0.08           0.08           
GN             0.22           0.26           0.48           0.46           0.0            0.28           0.0            0.06           0.0            0.02           0.28           0.16           0.22           0.22           
Jitter         0.16           0.16           0.16           0.18           0.0            0.16           0.0            0.06           0.0            0.0            0.08           0.08           0.08           0.04           
MIFGSM         0.2            0.2            0.3            0.32           0.0            0.22           0.0            0.16           0.0            0.02           0.14           0.16           0.1            0.1            
NIFGSM         0.16           0.26           0.24           0.3            0.0            0.28           0.0            0.08           0.0            0.0            0.12           0.12           0.1            0.1            
OnePixel       0.06           0.04           0.02           0.06           0.0            0.04           0.0            0.04           0.0            0.0            0.0            0.0            0.0            0.0            
PGD            0.22           0.22           0.22           0.28           0.0            0.28           0.0            0.08           0.0            0.0            0.06           0.08           0.14           0.14           
PGDL2          0.04           0.14           0.06           0.18           0.0            0.18           0.0            0.02           0.0            0.0            0.0            0.02           0.04           0.0            
PGDRS          0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
PGDRSL2        0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
RFGSM          0.1            0.16           0.28           0.28           0.0            0.26           0.0            0.1            0.0            0.02           0.1            0.06           0.12           0.12           
SINIFGSM       0.2            0.24           0.24           0.26           0.0            0.2            0.0            0.1            0.0            0.0            0.06           0.16           0.12           0.1            
TIFGSM         0.26           0.2            0.2            0.38           0.0            0.3            0.0            0.14           0.0            0.0            0.14           0.16           0.14           0.14           
TPGD           0.26           0.26           0.3            0.22           0.0            0.28           0.0            0.12           0.0            0.0            0.08           0.04           0.1            0.1            
UPGD           0.2            0.24           0.32           0.36           0.0            0.22           0.0            0.12           0.0            0.0            0.06           0.08           0.14           0.1            
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.24           0.26           0.24           0.32           0.0            0.38           0.0            0.14           0.0            0.0            0.14           0.14           0.18           0.22           
