Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.18           0.12           0.28           0.38           0.0            0.12           0.0            0.08           0.0            0.0            0.2            0.1            0.12           0.16           
Square         0.18           0.12           0.16           0.2            0.0            0.12           0.0            0.12           0.0            0.02           0.12           0.12           0.06           0.08           
APGD           0.1            0.0            0.06           0.1            0.0            0.08           0.0            0.02           0.0            0.02           0.1            0.04           0.06           0.04           
APGDT          0.04           0.06           0.02           0.06           0.0            0.04           0.0            0.0            0.0            0.04           0.08           0.02           0.0            0.06           
BIM            0.06           0.12           0.18           0.14           0.0            0.08           0.0            0.02           0.0            0.06           0.12           0.04           0.06           0.08           
CW             0.02           0.0            0.04           0.08           0.0            0.0            0.0            0.0            0.0            0.02           0.06           0.02           0.0            0.0            
DeepFool       0.0            0.0            0.0            0.02           0.0            0.0            0.0            0.0            0.0            0.02           0.02           0.0            0.0            0.0            
DIFGSM         0.02           0.04           0.18           0.16           0.0            0.04           0.0            0.12           0.0            0.02           0.14           0.06           0.04           0.1            
EADEN          0.0            0.0            0.0            0.02           0.0            0.02           0.0            0.02           0.0            0.0            0.02           0.0            0.0            0.0            
EADL1          0.0            0.02           0.0            0.02           0.0            0.02           0.0            0.02           0.0            0.0            0.0            0.0            0.0            0.0            
EOTPGD         0.06           0.08           0.22           0.24           0.0            0.04           0.0            0.04           0.0            0.0            0.14           0.14           0.0            0.12           
FAB            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.02           0.0            0.0            0.02           0.0            0.0            0.0            
FFGSM          0.06           0.04           0.26           0.28           0.0            0.08           0.0            0.1            0.0            0.08           0.1            0.08           0.04           0.14           
FGSM           0.16           0.08           0.28           0.28           0.0            0.06           0.0            0.06           0.0            0.04           0.16           0.1            0.08           0.12           
GN             0.3            0.24           0.48           0.4            0.0            0.12           0.0            0.18           0.0            0.02           0.28           0.2            0.12           0.18           
Jitter         0.04           0.06           0.14           0.14           0.0            0.1            0.0            0.06           0.0            0.0            0.14           0.08           0.04           0.04           
MIFGSM         0.14           0.08           0.18           0.26           0.0            0.08           0.0            0.14           0.0            0.06           0.14           0.14           0.06           0.1            
NIFGSM         0.1            0.06           0.18           0.3            0.0            0.08           0.0            0.02           0.0            0.02           0.14           0.08           0.1            0.08           
OnePixel       0.0            0.02           0.04           0.08           0.0            0.0            0.0            0.0            0.0            0.0            0.06           0.0            0.0            0.02           
PGD            0.06           0.04           0.22           0.24           0.0            0.04           0.0            0.08           0.0            0.1            0.14           0.08           0.04           0.08           
PGDL2          0.0            0.02           0.02           0.06           0.0            0.0            0.0            0.02           0.0            0.02           0.04           0.02           0.0            0.02           
PGDRS          0.1            0.02           0.18           0.26           0.0            0.06           0.0            0.12           0.0            0.0            0.12           0.04           0.06           0.08           
PGDRSL2        0.02           0.0            0.02           0.02           0.0            0.0            0.0            0.02           0.0            0.0            0.02           0.0            0.0            0.0            
RFGSM          0.06           0.06           0.2            0.22           0.0            0.04           0.0            0.1            0.0            0.02           0.14           0.08           0.02           0.06           
SINIFGSM       0.04           0.08           0.16           0.26           0.0            0.12           0.0            0.12           0.0            0.02           0.12           0.06           0.08           0.1            
TIFGSM         0.16           0.12           0.28           0.28           0.0            0.06           0.0            0.14           0.0            0.04           0.12           0.14           0.04           0.06           
TPGD           0.04           0.08           0.24           0.24           0.0            0.04           0.0            0.1            0.0            0.06           0.16           0.06           0.06           0.06           
UPGD           0.14           0.08           0.2            0.24           0.0            0.14           0.0            0.04           0.0            0.06           0.14           0.12           0.04           0.1            
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.06           0.08           0.22           0.34           0.0            0.14           0.0            0.08           0.0            0.04           0.14           0.14           0.04           0.1            
