Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.07           0.11           0.135          0.205          0.0            0.13           0.0            0.125          0.0            0.0            0.095          0.03           0.095          0.065          
Square         0.06           0.04           0.07           0.115          0.0            0.085          0.0            0.03           0.0            0.005          0.02           0.03           0.035          0.025          
APGD           0.065          0.17           0.14           0.135          0.0            0.1            0.0            0.075          0.0            0.005          0.025          0.025          0.045          0.03           
APGDT          0.075          0.34           0.135          0.19           0.0            0.1            0.0            0.085          0.0            0.0            0.03           0.05           0.055          0.04           
BIM            0.225          0.605          0.365          0.33           0.0            0.24           0.0            0.17           0.0            0.005          0.05           0.06           0.14           0.065          
CW             0.03           0.27           0.095          0.065          0.0            0.04           0.0            0.02           0.0            0.0            0.005          0.0            0.03           0.0            
DeepFool       0.02           0.165          0.03           0.025          0.0            0.025          0.0            0.0            0.0            0.0            0.0            0.0            0.01           0.0            
DIFGSM         0.22           0.815          0.375          0.38           0.0            0.22           0.0            0.15           0.0            0.005          0.075          0.09           0.11           0.055          
EADEN          0.01           0.205          0.05           0.07           0.0            0.035          0.0            0.04           0.0            0.0            0.01           0.0            0.005          0.0            
EADL1          0.015          0.19           0.06           0.065          0.0            0.04           0.0            0.035          0.0            0.0            0.015          0.0            0.005          0.005          
EOTPGD         0.19           0.735          0.38           0.35           0.0            0.19           0.0            0.155          0.0            0.005          0.055          0.08           0.12           0.065          
FAB            0.0            0.135          0.005          0.02           0.0            0.01           0.0            0.02           0.0            0.0            0.0            0.005          0.005          0.005          
FFGSM          0.22           0.94           0.405          0.405          0.0            0.29           0.0            0.175          0.0            0.005          0.065          0.06           0.135          0.1            
FGSM           0.205          0.915          0.375          0.415          0.0            0.265          0.0            0.22           0.0            0.005          0.085          0.1            0.115          0.11           
GN             0.235          0.195          0.375          0.465          0.0            0.32           0.0            0.235          0.0            0.01           0.215          0.17           0.24           0.145          
Jitter         0.15           0.715          0.335          0.36           0.0            0.195          0.0            0.115          0.0            0.005          0.07           0.055          0.095          0.065          
MIFGSM         0.22           0.86           0.375          0.465          0.0            0.235          0.0            0.18           0.0            0.01           0.045          0.055          0.135          0.105          
NIFGSM         0.175          0.795          0.365          0.3            0.0            0.25           0.0            0.185          0.0            0.01           0.06           0.09           0.095          0.08           
OnePixel       0.04           0.06           0.08           0.095          0.0            0.045          0.0            0.02           0.0            0.0            0.02           0.005          0.03           0.01           
PGD            0.215          0.84           0.37           0.385          0.005          0.24           0.0            0.15           0.0            0.005          0.045          0.065          0.125          0.075          
PGDL2          0.055          0.765          0.16           0.17           0.0            0.045          0.0            0.085          0.0            0.0            0.025          0.005          0.02           0.01           
PGDRS          0.005          0.005          0.015          0.015          0.0            0.01           0.0            0.0            0.0            0.0            0.005          0.0            0.0            0.0            
PGDRSL2        0.0            0.005          0.005          0.005          0.0            0.0            0.0            0.0            0.0            0.0            0.005          0.0            0.0            0.0            
RFGSM          0.21           0.71           0.38           0.36           0.0            0.22           0.0            0.175          0.0            0.005          0.06           0.07           0.105          0.065          
SINIFGSM       0.215          0.505          0.36           0.37           0.0            0.21           0.0            0.125          0.0            0.015          0.075          0.09           0.15           0.08           
TIFGSM         0.2            0.87           0.335          0.42           0.0            0.175          0.0            0.185          0.0            0.005          0.035          0.1            0.09           0.085          
TPGD           0.18           0.465          0.34           0.39           0.0            0.205          0.0            0.165          0.0            0.0            0.065          0.09           0.12           0.05           
UPGD           0.235          0.955          0.45           0.415          0.0            0.24           0.0            0.18           0.0            0.015          0.05           0.08           0.135          0.08           
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.26           0.955          0.375          0.48           0.0            0.285          0.0            0.235          0.0            0.005          0.065          0.09           0.155          0.11           
