Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.1            0.1            0.32           0.16           0.0            0.14           0.0            0.12           0.0            0.0            0.2            0.2            0.18           0.04           
Square         0.12           0.14           0.24           0.18           0.0            0.08           0.0            0.22           0.0            0.04           0.1            0.14           0.16           0.02           
APGD           0.06           0.1            0.14           0.12           0.0            0.08           0.0            0.1            0.0            0.0            0.54           0.12           0.16           0.08           
APGDT          0.02           0.12           0.12           0.14           0.0            0.08           0.0            0.08           0.0            0.02           0.62           0.12           0.12           0.04           
BIM            0.18           0.18           0.28           0.22           0.0            0.14           0.0            0.16           0.0            0.0            0.94           0.26           0.22           0.14           
CW             0.0            0.02           0.04           0.04           0.0            0.02           0.0            0.02           0.0            0.0            0.3            0.04           0.04           0.04           
DeepFool       0.0            0.04           0.0            0.08           0.0            0.0            0.0            0.04           0.0            0.0            0.16           0.02           0.0            0.0            
DIFGSM         0.18           0.22           0.24           0.28           0.0            0.18           0.0            0.2            0.0            0.0            0.84           0.3            0.16           0.16           
EADEN          0.0            0.04           0.04           0.0            0.0            0.04           0.0            0.02           0.0            0.0            0.24           0.04           0.02           0.0            
EADL1          0.0            0.02           0.06           0.02           0.0            0.06           0.0            0.02           0.0            0.0            0.16           0.04           0.04           0.0            
EOTPGD         0.06           0.18           0.2            0.14           0.0            0.12           0.0            0.22           0.0            0.0            0.82           0.22           0.14           0.08           
FAB            0.0            0.0            0.0            0.02           0.0            0.0            0.0            0.04           0.0            0.0            0.12           0.02           0.02           0.04           
FFGSM          0.12           0.1            0.18           0.22           0.0            0.14           0.0            0.1            0.0            0.0            0.82           0.2            0.2            0.06           
FGSM           0.14           0.14           0.14           0.26           0.0            0.16           0.0            0.16           0.0            0.02           0.84           0.34           0.18           0.1            
GN             0.22           0.2            0.34           0.28           0.0            0.34           0.0            0.2            0.0            0.02           0.1            0.24           0.2            0.08           
Jitter         0.02           0.08           0.12           0.14           0.0            0.06           0.0            0.1            0.0            0.02           0.46           0.24           0.12           0.04           
MIFGSM         0.28           0.18           0.22           0.24           0.0            0.22           0.0            0.18           0.0            0.0            0.94           0.26           0.28           0.14           
NIFGSM         0.14           0.2            0.14           0.24           0.0            0.16           0.0            0.22           0.0            0.0            0.82           0.22           0.16           0.02           
OnePixel       0.0            0.0            0.08           0.04           0.0            0.02           0.0            0.06           0.0            0.0            0.06           0.02           0.0            0.0            
PGD            0.12           0.1            0.18           0.14           0.0            0.2            0.0            0.18           0.0            0.0            0.78           0.28           0.14           0.06           
PGDL2          0.02           0.04           0.02           0.06           0.0            0.02           0.0            0.04           0.0            0.0            0.5            0.08           0.0            0.06           
PGDRS          0.02           0.08           0.04           0.04           0.0            0.04           0.0            0.1            0.0            0.0            0.02           0.02           0.02           0.04           
PGDRSL2        0.0            0.02           0.02           0.02           0.0            0.0            0.0            0.0            0.0            0.0            0.02           0.0            0.0            0.0            
RFGSM          0.14           0.18           0.24           0.12           0.0            0.2            0.0            0.24           0.0            0.02           0.92           0.22           0.16           0.14           
SINIFGSM       0.14           0.16           0.26           0.3            0.0            0.22           0.0            0.2            0.0            0.0            0.66           0.22           0.2            0.02           
TIFGSM         0.2            0.3            0.36           0.32           0.0            0.26           0.0            0.3            0.0            0.02           0.46           0.2            0.1            0.12           
TPGD           0.18           0.16           0.28           0.22           0.0            0.2            0.0            0.1            0.0            0.0            0.38           0.28           0.14           0.02           
UPGD           0.14           0.24           0.28           0.22           0.0            0.14           0.0            0.18           0.0            0.02           0.9            0.36           0.32           0.14           
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.14           0.18           0.24           0.26           0.0            0.28           0.0            0.24           0.0            0.0            0.96           0.28           0.18           0.12           
