Models,resnet18,resnet50,resnet101,resnet152,densenet121,densenet161,densenet169,densenet201,efficientnet_b0,efficientnet_b1,efficientnet_b2,efficientnet_b3,efficientnet_b4,efficientnet_b5,efficientnet_b6,efficientnet_b7,mobilenet_v2,mobilenet_v3_small,mobilenet_v3_large,vgg11,vgg13,vgg16,vgg19
APGD,0.96,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.92,0.9,0.91,0.9,0.9,0.92,0.91,0.91,0.91,0.91,0.9,0.98,0.97,0.98,0.98
APGDT,0.95,0.9,0.89,0.89,0.91,0.9,0.91,0.9,0.91,0.9,0.91,0.9,0.89,0.92,0.9,0.92,0.91,0.9,0.91,0.98,0.97,0.97,0.98
BIM,0.96,0.91,0.9,0.89,0.92,0.91,0.92,0.91,0.92,0.91,0.92,0.91,0.9,0.91,0.9,0.92,0.92,0.91,0.91,0.98,0.98,0.98,0.98
CW,0.92,0.88,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.88,0.9,0.89,0.89,0.88,0.94,0.93,0.93,0.94
DIFGSM,0.97,0.91,0.9,0.9,0.93,0.92,0.93,0.92,0.94,0.92,0.93,0.91,0.91,0.93,0.92,0.93,0.92,0.91,0.92,0.98,0.98,0.98,0.98
EADEN,0.93,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.94,0.94,0.93,0.94
EADL1,0.92,0.88,0.88,0.88,0.89,0.88,0.89,0.88,0.89,0.88,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.88,0.93,0.93,0.93,0.93
EOTPGD,0.95,0.89,0.88,0.88,0.9,0.9,0.9,0.9,0.91,0.9,0.91,0.89,0.89,0.91,0.9,0.91,0.91,0.9,0.9,0.97,0.97,0.97,0.98
FFGSM,0.97,0.92,0.9,0.9,0.94,0.92,0.93,0.93,0.94,0.92,0.93,0.92,0.92,0.94,0.93,0.94,0.93,0.93,0.93,0.98,0.98,0.98,0.98
FGSM,0.98,0.93,0.91,0.91,0.94,0.93,0.95,0.94,0.95,0.93,0.94,0.92,0.93,0.94,0.93,0.94,0.94,0.93,0.94,0.99,0.99,0.99,0.99
GN,0.98,0.94,0.92,0.91,0.95,0.94,0.94,0.95,0.95,0.95,0.93,0.92,0.92,0.96,0.94,0.95,0.99,0.96,0.96,1.0,1.0,0.99,1.0
Jitter,0.94,0.89,0.89,0.89,0.9,0.9,0.9,0.89,0.91,0.9,0.9,0.9,0.89,0.91,0.9,0.91,0.91,0.9,0.9,0.96,0.95,0.96,0.96
MIFGSM,0.97,0.92,0.91,0.9,0.93,0.93,0.93,0.93,0.94,0.93,0.93,0.92,0.92,0.93,0.92,0.93,0.94,0.92,0.93,0.98,0.98,0.98,0.99
NIFGSM,0.96,0.91,0.9,0.89,0.91,0.91,0.92,0.91,0.92,0.91,0.91,0.9,0.9,0.92,0.91,0.92,0.92,0.9,0.91,0.98,0.98,0.98,0.98
PGD,0.96,0.9,0.89,0.89,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.89,0.92,0.9,0.92,0.92,0.9,0.91,0.98,0.97,0.97,0.98
PGDL2,0.94,0.89,0.9,0.89,0.9,0.9,0.9,0.9,0.91,0.9,0.9,0.9,0.9,0.91,0.9,0.91,0.91,0.91,0.9,0.95,0.95,0.95,0.96
PGDRS,0.97,0.91,0.9,0.9,0.93,0.92,0.93,0.92,0.94,0.92,0.93,0.91,0.91,0.93,0.92,0.94,0.94,0.94,0.93,0.99,0.97,0.97,0.98
PGDRSL2,0.98,0.95,0.94,0.94,0.95,0.95,0.95,0.95,0.96,0.95,0.95,0.94,0.94,0.96,0.95,0.95,0.96,0.96,0.95,0.98,0.98,0.99,0.98
RFGSM,0.96,0.89,0.88,0.88,0.91,0.89,0.9,0.9,0.92,0.91,0.9,0.89,0.89,0.9,0.9,0.91,0.91,0.9,0.9,0.97,0.97,0.97,0.97
SINIFGSM,0.98,0.91,0.9,0.9,0.94,0.92,0.93,0.93,0.94,0.91,0.93,0.9,0.9,0.94,0.92,0.93,0.93,0.92,0.92,0.99,0.99,0.99,0.99
TIFGSM,0.97,0.9,0.9,0.9,0.93,0.92,0.93,0.92,0.92,0.9,0.92,0.91,0.9,0.94,0.93,0.94,0.91,0.92,0.92,0.97,0.97,0.97,0.98
TPGD,0.95,0.88,0.87,0.87,0.89,0.88,0.89,0.88,0.9,0.89,0.89,0.88,0.87,0.89,0.89,0.9,0.89,0.89,0.89,0.97,0.97,0.97,0.97
UPGD,0.97,0.91,0.9,0.9,0.92,0.92,0.92,0.92,0.93,0.92,0.92,0.91,0.9,0.92,0.91,0.92,0.93,0.9,0.91,0.99,0.98,0.98,0.99
VMIFGSM,0.97,0.93,0.92,0.91,0.94,0.93,0.94,0.94,0.96,0.93,0.95,0.92,0.92,0.94,0.93,0.94,0.94,0.91,0.94,0.99,0.99,0.99,0.99
VNIFGSM,0.98,0.92,0.91,0.9,0.94,0.93,0.94,0.93,0.95,0.93,0.94,0.92,0.92,0.93,0.92,0.94,0.94,0.9,0.93,0.98,0.98,0.99,0.99
Pixle,0.97,0.92,0.91,0.91,0.92,0.92,0.93,0.92,0.93,0.91,0.92,0.91,0.91,0.92,0.91,0.92,0.93,0.92,0.92,0.98,0.98,0.97,0.98
Square,0.93,0.89,0.88,0.88,0.89,0.88,0.89,0.89,0.9,0.89,0.89,0.88,0.89,0.9,0.9,0.9,0.9,0.9,0.89,0.95,0.95,0.94,0.95
