Attacks,resnet18,resnet50,resnet101,resnet152,densenet121,densenet161,densenet169,densenet201,efficientnet_b0,efficientnet_b1,efficientnet_b2,efficientnet_b3,efficientnet_b4,efficientnet_b5,efficientnet_b6,efficientnet_b7,mobilenet_v2,mobilenet_v3_small,mobilenet_v3_large,vgg11,vgg13,vgg16,vgg19
APGD,0.97,0.94,0.92,0.93,0.94,0.94,0.94,0.94,1.0,0.94,0.95,0.93,0.93,0.94,0.93,0.94,0.94,0.92,0.94,0.94,0.94,0.96,0.96
APGDT,0.93,0.8,0.79,0.79,0.85,0.82,0.85,0.82,1.0,0.85,0.92,0.82,0.81,0.88,0.84,0.83,0.86,0.84,0.9,0.96,0.98,0.96,0.95
BIM,0.98,0.93,0.91,0.91,0.95,0.93,0.93,0.92,1.0,0.95,0.99,0.95,0.94,0.94,0.91,0.94,0.97,0.95,0.99,0.99,0.99,0.99,1.0
CW,0.94,0.92,0.92,0.92,0.93,0.92,0.93,0.93,1.0,0.93,0.92,0.92,0.92,0.93,0.93,0.92,0.93,0.93,0.93,0.96,0.96,0.97,0.97
DIFGSM,0.99,0.94,0.91,0.91,0.97,0.92,0.96,0.96,1.0,0.97,1.0,0.99,0.95,0.98,0.97,0.98,0.99,0.97,0.96,0.99,0.99,0.99,0.99
EADEN,0.94,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.0,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.95,0.93,0.95,0.94
EADL1,0.95,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.0,0.91,0.92,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.95,0.95,0.95,0.95
EOTPGD,1.0,0.94,0.93,0.94,0.96,0.93,0.96,0.94,1.0,0.97,0.99,0.97,0.94,0.97,0.94,0.96,0.97,0.97,1.0,1.0,1.0,1.0,1.0
FFGSM,0.97,0.94,0.94,0.94,0.97,0.96,0.97,0.97,1.0,0.97,0.96,0.96,0.95,0.96,0.96,0.96,0.96,0.98,0.97,0.98,0.98,0.98,0.99
FGSM,0.99,0.93,0.94,0.92,0.96,0.94,0.97,0.95,1.0,0.96,0.98,0.97,0.97,0.95,0.95,0.96,0.96,0.96,0.96,1.0,0.99,0.99,1.0
GN,0.99,0.97,0.92,0.91,0.98,0.94,0.95,0.96,1.0,0.97,0.94,0.91,0.9,0.99,0.96,0.98,0.99,0.98,0.98,1.0,0.99,1.0,1.0
Jitter,0.96,0.9,0.88,0.89,0.89,0.9,0.9,0.89,1.0,0.97,0.98,0.93,0.89,0.9,0.9,0.93,0.97,0.9,0.97,0.95,0.93,0.95,0.96
MIFGSM,0.99,0.88,0.87,0.86,0.92,0.94,0.92,0.89,1.0,0.97,0.98,0.95,0.93,0.96,0.93,0.95,0.96,0.93,0.97,0.99,0.99,0.99,0.99
NIFGSM,0.98,0.94,0.94,0.93,0.94,0.94,0.96,0.95,1.0,0.98,0.96,0.96,0.95,0.97,0.97,0.97,0.97,0.96,0.96,0.99,0.98,0.99,1.0
PGD,0.93,0.87,0.88,0.88,0.88,0.89,0.91,0.88,1.0,0.95,0.95,0.92,0.91,0.92,0.89,0.91,0.93,0.9,0.94,0.99,0.97,0.95,0.98
PGDL2,0.9,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.0,0.85,0.85,0.84,0.83,0.85,0.84,0.85,0.86,0.86,0.83,0.91,0.93,0.93,0.93
PGDRS,0.98,0.89,0.89,0.89,0.91,0.9,0.9,0.89,1.0,0.89,0.93,0.9,0.9,0.95,0.91,0.92,0.92,0.92,0.9,0.99,0.99,0.98,0.99
PGDRSL2,1.0,0.96,0.96,0.96,1.0,0.96,0.96,0.96,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.0,1.0,1.0,1.0
RFGSM,0.94,0.87,0.86,0.86,0.92,0.9,0.89,0.88,1.0,0.96,0.97,0.92,0.9,0.89,0.89,0.88,0.97,0.92,0.96,0.96,0.96,0.96,0.96
SINIFGSM,1.0,0.9,0.9,0.9,0.95,0.92,0.95,0.96,1.0,0.94,0.97,0.93,0.95,0.96,0.93,0.93,0.97,0.94,0.96,1.0,1.0,1.0,1.0
TIFGSM,0.99,0.85,0.85,0.85,0.92,0.89,0.91,0.9,1.0,0.88,0.95,0.9,0.88,0.94,0.92,0.95,0.86,0.93,0.94,0.99,0.98,0.97,0.99
TPGD,0.97,0.86,0.83,0.84,0.83,0.83,0.85,0.82,1.0,0.92,0.95,0.9,0.87,0.84,0.82,0.82,0.94,0.91,0.96,0.98,1.0,0.99,0.98
UPGD,0.97,0.94,0.92,0.93,0.95,0.94,0.96,0.95,1.0,0.99,1.0,0.96,0.95,0.97,0.94,0.95,0.97,0.96,0.97,0.99,0.98,0.99,1.0
VMIFGSM,0.96,0.92,0.89,0.89,0.94,0.92,0.93,0.92,1.0,0.98,1.0,0.96,0.93,0.96,0.93,0.96,0.99,0.92,0.99,1.0,0.99,0.98,0.99
VNIFGSM,0.99,0.95,0.93,0.93,0.97,0.96,0.99,0.98,1.0,1.0,0.99,0.98,0.97,1.0,0.98,0.99,1.0,0.97,0.99,1.0,1.0,1.0,1.0
Pixle,0.96,0.89,0.86,0.86,0.89,0.9,0.88,0.86,1.0,0.86,0.86,0.86,0.87,0.89,0.88,0.89,0.92,0.87,0.86,0.97,0.98,0.97,0.99
Square,0.93,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.0,0.91,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.97,0.95,0.95,0.95
