Attacks,resnet18,resnet50,resnet101,resnet152,densenet121,densenet161,densenet169,densenet201,efficientnet_b0,efficientnet_b1,efficientnet_b2,efficientnet_b3,efficientnet_b4,efficientnet_b5,efficientnet_b6,efficientnet_b7,mobilenet_v2,mobilenet_v3_small,mobilenet_v3_large,vgg11,vgg13,vgg16,vgg19
APGD,0.93,0.89,0.87,0.88,0.89,0.88,0.89,0.89,0.9,0.87,0.91,0.87,0.88,0.91,0.89,0.92,0.89,1,0.9,0.97,0.96,0.95,0.95
APGDT,0.94,0.89,0.89,0.89,0.91,0.9,0.91,0.9,0.92,0.91,0.91,0.9,0.89,0.92,0.92,0.93,0.92,1,0.91,0.98,0.97,0.95,0.95
BIM,0.95,0.89,0.89,0.88,0.89,0.89,0.9,0.89,0.9,0.89,0.9,0.9,0.89,0.89,0.89,0.9,0.91,1,0.91,0.98,0.97,0.98,0.96
CW,0.89,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.83,0.82,0.83,0.82,0.82,0.84,0.83,0.85,0.82,1,0.82,0.91,0.88,0.87,0.88
DIFGSM,0.93,0.87,0.85,0.85,0.87,0.88,0.88,0.86,0.94,0.88,0.9,0.87,0.85,0.9,0.89,0.92,0.91,1,0.9,0.96,0.96,0.95,0.95
EADEN,0.92,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.88,1,0.88,0.94,0.94,0.93,0.94
EADL1,0.92,0.86,0.85,0.86,0.86,0.85,0.85,0.85,0.88,0.86,0.87,0.85,0.86,0.87,0.87,0.87,0.87,1,0.85,0.93,0.94,0.92,0.95
EOTPGD,0.95,0.91,0.91,0.91,0.92,0.92,0.92,0.91,0.92,0.92,0.92,0.92,0.92,0.93,0.92,0.91,0.93,1,0.92,0.97,0.97,0.97,0.97
FFGSM,0.96,0.92,0.91,0.91,0.92,0.92,0.91,0.91,0.94,0.92,0.92,0.92,0.92,0.93,0.92,0.92,0.91,1,0.92,0.97,0.97,0.96,0.97
FGSM,0.95,0.91,0.91,0.91,0.92,0.92,0.93,0.91,0.95,0.93,0.95,0.92,0.92,0.94,0.94,0.94,0.93,1,0.92,0.97,0.97,0.97,0.98
GN,1,0.95,0.91,0.92,0.98,0.95,0.97,0.96,0.97,0.99,0.95,0.94,0.92,0.97,0.97,0.97,0.99,1,0.98,1,0.99,1,1
Jitter,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.94,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.94,1,0.92,0.97,0.93,0.95,0.98
MIFGSM,0.96,0.91,0.9,0.9,0.9,0.93,0.92,0.91,0.95,0.94,0.92,0.9,0.92,0.94,0.92,0.94,0.93,1,0.93,0.97,0.96,0.96,0.96
NIFGSM,0.92,0.86,0.85,0.86,0.87,0.87,0.86,0.86,0.89,0.89,0.87,0.86,0.86,0.89,0.87,0.88,0.88,1,0.87,0.98,0.94,0.92,0.96
PGD,0.97,0.91,0.9,0.91,0.93,0.92,0.92,0.92,0.94,0.92,0.93,0.93,0.92,0.93,0.92,0.94,0.93,1,0.94,0.98,0.97,0.96,0.97
PGDL2,0.94,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1,0.91,0.97,0.97,0.95,0.95
PGDRS,0.98,0.94,0.93,0.93,0.94,0.94,0.95,0.94,0.95,0.93,0.94,0.93,0.93,0.96,0.95,0.96,0.95,1,0.93,0.99,0.98,0.96,0.99
PGDRSL2,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.96,0.96,0.98,0.96,1,0.96,0.98,0.96,0.98,0.98
RFGSM,0.95,0.86,0.83,0.84,0.87,0.84,0.9,0.87,0.93,0.89,0.89,0.86,0.85,0.88,0.88,0.9,0.91,1,0.87,0.99,0.97,0.97,0.98
SINIFGSM,0.97,0.89,0.88,0.87,0.92,0.88,0.9,0.88,0.92,0.88,0.91,0.87,0.89,0.91,0.9,0.9,0.91,1,0.89,0.99,0.97,0.98,0.98
TIFGSM,0.97,0.92,0.9,0.89,0.94,0.92,0.95,0.92,0.96,0.92,0.94,0.9,0.89,0.96,0.94,0.95,0.95,1,0.93,0.97,0.97,0.97,0.97
TPGD,0.92,0.88,0.87,0.87,0.88,0.87,0.89,0.89,0.88,0.88,0.89,0.88,0.87,0.89,0.87,0.89,0.88,1,0.89,0.95,0.95,0.93,0.93
UPGD,0.94,0.9,0.89,0.89,0.9,0.9,0.92,0.9,0.93,0.91,0.93,0.9,0.9,0.93,0.92,0.94,0.92,1,0.93,0.97,0.94,0.95,0.94
VMIFGSM,0.95,0.93,0.93,0.93,0.93,0.94,0.93,0.93,0.95,0.94,0.93,0.93,0.93,0.94,0.93,0.95,0.94,1,0.95,0.99,0.96,0.96,0.96
VNIFGSM,0.99,0.92,0.91,0.92,0.93,0.94,0.95,0.93,0.97,0.93,0.95,0.92,0.92,0.96,0.93,0.96,0.97,1,0.95,0.99,0.98,0.98,0.98
Pixle,0.97,0.95,0.95,0.95,0.96,0.96,0.96,0.95,0.97,0.95,0.95,0.95,0.95,0.97,0.96,0.96,0.95,1,0.95,0.99,0.99,1,0.98
Square,0.94,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.91,0.91,0.91,0.94,0.93,0.93,0.95,1,0.91,0.96,0.95,0.95,0.96
