Attacks,resnet18,resnet50,resnet101,resnet152,densenet121,densenet161,densenet169,densenet201,efficientnet_b0,efficientnet_b1,efficientnet_b2,efficientnet_b3,efficientnet_b4,efficientnet_b5,efficientnet_b6,efficientnet_b7,mobilenet_v2,mobilenet_v3_small,mobilenet_v3_large,vgg11,vgg13,vgg16,vgg19
APGD,0.98,1.0,0.96,0.95,0.97,0.96,0.97,0.96,0.97,0.95,0.94,0.95,0.94,0.95,0.94,0.96,0.97,0.96,0.94,1.0,0.97,1.0,1.0
APGDT,0.98,1.0,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.91,0.92,0.92,0.93,0.92,0.92,0.92,0.99,0.99,0.98,0.98
BIM,0.94,1.0,0.86,0.86,0.86,0.85,0.88,0.86,0.89,0.85,0.87,0.85,0.85,0.88,0.87,0.87,0.88,0.86,0.86,0.97,0.94,0.94,0.96
CW,0.95,1.0,0.89,0.89,0.9,0.89,0.9,0.9,0.92,0.89,0.91,0.9,0.89,0.91,0.9,0.91,0.91,0.91,0.9,0.97,0.97,0.97,0.96
DIFGSM,0.97,1.0,0.92,0.92,0.95,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.91,0.93,0.93,0.93,0.93,0.91,0.92,0.97,0.96,0.96,0.97
EADEN,0.97,1.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.97,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.96,0.96
EADL1,0.9,1.0,0.86,0.86,0.87,0.86,0.88,0.86,0.88,0.86,0.88,0.86,0.86,0.87,0.86,0.87,0.87,0.88,0.87,0.92,0.92,0.9,0.91
EOTPGD,0.95,1.0,0.9,0.91,0.91,0.91,0.9,0.9,0.91,0.9,0.91,0.9,0.89,0.89,0.9,0.9,0.92,0.92,0.92,0.96,0.93,0.95,0.97
FFGSM,0.98,1.0,0.93,0.93,0.98,0.95,0.94,0.95,0.95,0.94,0.94,0.93,0.93,0.95,0.94,0.96,0.96,0.95,0.94,0.99,0.99,0.99,0.99
FGSM,1.0,1.0,0.99,0.99,0.98,1.0,0.99,1.0,0.98,0.98,0.98,0.98,0.99,0.98,0.98,0.99,0.98,0.98,0.99,1.0,0.99,1.0,1.0
GN,0.99,1.0,0.95,0.93,0.97,0.97,0.97,0.96,0.97,1.0,0.99,0.94,0.96,1.0,0.99,0.99,1.0,0.98,0.99,1.0,1.0,1.0,0.99
Jitter,0.96,1.0,0.93,0.94,0.92,0.93,0.93,0.93,0.94,0.93,0.93,0.93,0.93,0.94,0.93,0.94,0.94,0.93,0.94,0.95,0.96,0.96,0.97
MIFGSM,0.91,1.0,0.88,0.87,0.86,0.86,0.87,0.87,0.87,0.85,0.84,0.85,0.84,0.85,0.84,0.85,0.87,0.88,0.87,0.95,0.93,0.95,0.96
NIFGSM,0.95,1.0,0.92,0.92,0.93,0.94,0.94,0.93,0.92,0.92,0.92,0.92,0.92,0.94,0.93,0.93,0.95,0.93,0.92,0.97,0.96,0.97,0.98
PGD,0.99,1.0,0.87,0.87,0.89,0.87,0.89,0.89,0.89,0.87,0.87,0.88,0.87,0.88,0.88,0.88,0.9,0.9,0.88,0.99,0.99,0.97,0.99
PGDL2,1.0,1.0,0.97,0.97,0.99,0.97,0.98,0.97,1.0,0.97,0.98,0.97,0.97,0.98,0.97,0.98,0.98,0.99,0.98,1.0,1.0,1.0,1.0
PGDRS,1.0,1.0,0.96,0.95,0.99,0.97,0.99,0.96,1.0,0.98,0.98,0.96,0.96,0.97,0.95,0.97,1.0,0.99,0.99,1.0,1.0,1.0,1.0
PGDRSL2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RFGSM,0.96,1.0,0.9,0.91,0.9,0.88,0.91,0.9,0.91,0.91,0.9,0.87,0.89,0.89,0.89,0.91,0.91,0.92,0.92,0.96,0.96,0.97,0.96
SINIFGSM,0.98,1.0,0.9,0.89,0.92,0.88,0.9,0.9,0.9,0.88,0.89,0.86,0.86,0.9,0.87,0.89,0.91,0.88,0.87,0.97,0.98,0.97,0.99
TIFGSM,0.98,1.0,0.95,0.95,0.97,0.96,0.96,0.96,0.95,0.95,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.92,0.95,0.99,0.99,0.99,0.98
TPGD,0.92,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.91,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.94,0.96,0.95,0.96
UPGD,0.97,1.0,0.92,0.91,0.93,0.92,0.93,0.92,0.91,0.91,0.9,0.89,0.9,0.9,0.89,0.91,0.93,0.91,0.92,0.96,0.96,0.96,0.96
VMIFGSM,1.0,1.0,0.98,0.98,0.98,0.97,0.97,0.98,0.96,0.97,0.96,0.95,0.95,0.96,0.95,0.97,0.97,0.95,0.95,1.0,0.99,1.0,1.0
VNIFGSM,0.97,1.0,0.97,0.94,0.92,0.93,0.93,0.95,0.92,0.93,0.94,0.91,0.9,0.93,0.92,0.94,0.92,0.9,0.91,0.98,0.98,0.98,0.96
Pixle,0.98,1.0,0.9,0.9,0.93,0.92,0.96,0.93,0.95,0.89,0.92,0.9,0.89,0.94,0.9,0.94,0.93,0.94,0.9,1.0,0.99,0.99,0.98
