Attacks,resnet18,resnet50,resnet101,resnet152,densenet121,densenet161,densenet169,densenet201,efficientnet_b0,efficientnet_b1,efficientnet_b2,efficientnet_b3,efficientnet_b4,efficientnet_b5,efficientnet_b6,efficientnet_b7,mobilenet_v2,mobilenet_v3_small,mobilenet_v3_large,vgg11,vgg13,vgg16,vgg19
APGD,0.95,0.89,0.87,0.87,0.88,0.87,0.89,0.88,0.89,0.88,0.87,0.88,0.88,0.89,0.88,0.88,0.89,0.89,0.89,1.0,1.0,1.0,1.0
APGDT,0.88,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.84,0.82,0.83,0.82,0.82,0.83,0.82,0.83,0.83,0.83,0.83,0.96,1.0,0.99,0.99
BIM,0.92,0.85,0.85,0.85,0.86,0.85,0.86,0.85,0.86,0.85,0.85,0.85,0.85,0.87,0.85,0.85,0.85,0.86,0.85,1.0,1.0,1.0,1.0
CW,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.94,1.0,0.93,0.95
DIFGSM,0.95,0.82,0.83,0.82,0.83,0.83,0.83,0.83,0.87,0.83,0.83,0.82,0.83,0.85,0.84,0.85,0.83,0.83,0.83,1.0,1.0,1.0,1.0
EADEN,0.89,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.87,0.86,0.86,0.85,0.85,0.86,0.87,1.0,0.89,0.9
EADL1,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.83,0.82,0.83,1.0,0.85,0.86
EOTPGD,0.91,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.8,0.81,0.81,0.8,0.8,0.81,0.82,0.8,0.8,1.0,1.0,1.0,1.0
FFGSM,0.97,0.92,0.91,0.91,0.92,0.91,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.92,0.91,0.92,0.93,0.93,0.92,1.0,1.0,1.0,1.0
FGSM,0.96,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.92,0.91,0.9,0.9,0.9,0.92,0.91,0.92,0.91,0.9,0.92,1.0,1.0,1.0,1.0
GN,0.94,0.84,0.83,0.84,0.85,0.83,0.85,0.86,0.84,0.85,0.84,0.84,0.84,0.85,0.84,0.85,0.93,0.86,0.85,1.0,1.0,0.97,0.99
Jitter,0.94,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.86,0.88,0.86,0.88,0.88,0.88,0.87,0.86,0.88,0.98,1.0,0.99,0.99
MIFGSM,0.95,0.82,0.82,0.82,0.84,0.83,0.84,0.83,0.89,0.83,0.84,0.83,0.82,0.85,0.83,0.83,0.84,0.83,0.83,1.0,1.0,1.0,1.0
NIFGSM,0.97,0.86,0.87,0.86,0.86,0.86,0.86,0.87,0.88,0.86,0.88,0.86,0.86,0.88,0.87,0.88,0.87,0.87,0.87,1.0,1.0,1.0,1.0
PGD,0.96,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.91,0.9,0.89,0.89,0.89,0.88,0.9,0.92,0.9,0.9,1.0,1.0,1.0,0.99
PGDL2,0.91,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.95,1.0,0.94,0.94
PGDRS,0.86,0.82,0.82,0.82,0.84,0.82,0.84,0.85,0.83,0.83,0.83,0.83,0.82,0.83,0.84,0.83,0.85,0.87,0.85,0.96,1.0,0.93,0.91
PGDRSL2,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.8,0.85,1.0,0.9,0.85
RFGSM,0.96,0.89,0.87,0.87,0.88,0.87,0.88,0.88,0.91,0.87,0.87,0.87,0.87,0.88,0.87,0.87,0.87,0.88,0.88,0.99,1.0,1.0,1.0
SINIFGSM,0.95,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.88,0.89,0.88,0.88,0.87,0.87,0.89,0.88,0.89,0.88,1.0,1.0,0.99,1.0
TIFGSM,0.96,0.9,0.9,0.9,0.92,0.91,0.91,0.92,0.92,0.9,0.9,0.91,0.9,0.92,0.91,0.91,0.91,0.93,0.92,1.0,1.0,1.0,1.0
TPGD,0.92,0.83,0.8,0.81,0.83,0.81,0.84,0.82,0.83,0.83,0.81,0.83,0.83,0.82,0.83,0.83,0.83,0.84,0.83,0.99,1.0,1.0,1.0
UPGD,0.92,0.77,0.77,0.77,0.78,0.77,0.79,0.77,0.81,0.78,0.8,0.77,0.77,0.81,0.79,0.8,0.78,0.78,0.77,1.0,1.0,1.0,1.0
VMIFGSM,0.99,0.9,0.89,0.89,0.92,0.89,0.9,0.91,0.94,0.91,0.94,0.89,0.89,0.91,0.9,0.91,0.94,0.92,0.9,1.0,1.0,1.0,1.0
VNIFGSM,0.99,0.88,0.85,0.85,0.88,0.86,0.86,0.86,0.89,0.86,0.85,0.85,0.85,0.86,0.85,0.85,0.89,0.85,0.86,1.0,1.0,1.0,1.0
Pixle,0.87,0.82,0.82,0.83,0.82,0.82,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.89,1.0,0.86,0.89
Square,0.92,0.9,0.9,0.9,0.9,0.9,0.91,0.9,0.9,0.9,0.9,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.9,0.95,1.0,0.93,0.95
