Obszar,Wartość
Python,3.11.5
pip,26.0.1
PyTorch (torch),2.10.0+cu128
torchvision,0.25.0+cu128
torchaudio,2.10.0+cu128
CUDA (wbudowana w build PyTorch),12.8
cuDNN (wersja zgłaszana przez PyTorch),91002
torch.cuda.is_available (venv),TRUE
Interpreter venv,venv\Scripts\python.exe
Interpreter bazowy (pyvenv.cfg),C:\Users\BRUT4LxD\AppData\Local\Programs\Python\Python311\python.exe
venv izolowany (include-system-site-packages),FALSE
absl-py,2.4.0
colorama,0.4.6
contourpy,1.3.3
cycler,0.12.1
filelock,3.20.0
fonttools,4.62.1
fsspec,2025.12.0
grpcio,1.78.0
Jinja2,3.1.6
joblib,1.5.3
kiwisolver,1.5.0
lightning-utilities,0.15.3
Markdown,3.10.2
MarkupSafe,3.0.2
matplotlib,3.10.8
mpmath,1.3.0
networkx,3.6.1
numpy,2.3.5
packaging,26
pandas,3.0.1
pillow,12.0.0
protobuf,7.34.1
pyparsing,3.3.2
python-dateutil,2.9.0.post0
scikit-learn,1.8.0
scipy,1.17.1
six,1.17.0
sympy,1.14.0
tensorboard,2.20.0
tensorboard-data-server,0.7.2
threadpoolctl,3.6.0
torchmetrics,1.9.0
tqdm,4.67.3
typing_extensions,4.15.0
tzdata,2025.3
Werkzeug,3.1.6
